observation_id,sample_record_id,sample_name,source_site_id,latitude,longitude,coordinate_reference_system,h3_r6,state_or_ut_2011,district_2011,analysis_scope,analysis_sequence,source_analyzed_material,source_mineral_code,mineral_name_curated,mineral_ontology_material_id,parameter,parameter_class,chemical_name_curated,chemical_name_basis,component_element_material_ids_json,ontology_material_ids_json,source_value_text,numeric_value,measurement_status,measurement_qualifier,unit_source,unit_normalized,source_method_code_data_sheet,source_method_code_metadata_sheet,technique,instrument,laboratory,analytical_accuracy_source,reference_materials_json,detection_limit_reported,detection_limit_value,detection_limit_unit,procedural_blank_value,procedural_blank_unit,operation_conditions_json,sample_preparation_source,chemical_treatment_source,source_workbook,source_sheet,source_row,source_column,source_dataset_id,source_doi,source_url,source_license,source_file_sha1,source_file_sha256,source_citation,source_accessed_date,deposit_or_mine_status_verified,model_evidence_role,model_use_status,data_quality_flags_json
ECL4498-BULK-C1-001-01-SIO2,ECL4498-SAMPLE-C1,C1,ECL4498-SITE-C6B15AB1AA,26.30345,90.37555,EPSG:4326,863ce0997ffffff,Assam,Dhubri,bulk,1,bulk sample powder,,,,SiO2,major_oxide,silicon dioxide,curated_standard_chemical_name,"[""element:silicon""]","[""element:silicon""]",57.4,57.4,measured_numeric,,wt.%,wt.%,1,1,WD-XRF,Rigaku ZSX Primus II,"Advanced Center for Material Science, Indian Institute of Technology, Kanpur (IITK)","[""accuracy better than 2%""]","[{""name"":""MAN"",""measured_value"":70.7,""reported_uncertainty_or_accuracy"":""accuracy better than 2%"",""reported_uncertainty_unit"":""wt.%"",""number_of_measurements"":""""},{""name"":""GA"",""measured_value"":66.7,""reported_uncertainty_or_accuracy"":""accuracy better than 2%"",""reported_uncertainty_unit"":""wt.%"",""number_of_measurements"":""""}]",false,,,,,{},sediment samples were dried and powdered in an agate mortar and pestle; <75 mm,50 mg of sample powder was digested in concentrated HF+ HNO3 + HCl solution in the ratio of (8:4:2),4498-1_Duttetal_2026_BulkAnalysis.xls,3 Data,7,I,SRC_EARTHCHEM_ECL_4498_DUTT_2026,10.60520/IEDA/114498,https://ecl.earthchem.org/view.php?id=4498,CC-BY-4.0,118bc636e3cd7a3b42a109ca4c6985b7a4926f2f,dc29e57f88ed3846140751d12319bb5f2d446f7baf9b853918e94e3ff0decb30,"Dutt, A.; Paul, D.; Goswami, V.; Ray, D.; Dash, J.K. (2026). Analytical data of Li-rich pegmatites and associated leucogranites of the Assam-Meghalaya Gneissic Complex, northeast India, Version 1.0. Interdisciplinary Earth Data Alliance (IEDA). https://doi.org/10.60520/IEDA/114498",2026-09-10,false,independent_geochemical_context,excluded_from_v0.6_model_pending_spatial_validation,[]
ECL4498-BULK-C1-001-02-TIO2,ECL4498-SAMPLE-C1,C1,ECL4498-SITE-C6B15AB1AA,26.30345,90.37555,EPSG:4326,863ce0997ffffff,Assam,Dhubri,bulk,1,bulk sample powder,,,,TiO2,major_oxide,titanium dioxide,curated_standard_chemical_name,"[""element:titanium""]","[""element:titanium""]",0.08,0.08,measured_numeric,,wt.%,wt.%,1,1,WD-XRF,Rigaku ZSX Primus II,"Advanced Center for Material Science, Indian Institute of Technology, Kanpur (IITK)","[""accuracy better than 2%""]","[{""name"":""MAN"",""measured_value"":0.37,""reported_uncertainty_or_accuracy"":""accuracy better than 2%"",""reported_uncertainty_unit"":""wt.%"",""number_of_measurements"":""""},{""name"":""GA"",""measured_value"":0.03,""reported_uncertainty_or_accuracy"":""accuracy better than 2%"",""reported_uncertainty_unit"":""wt.%"",""number_of_measurements"":""""}]",false,,,,,{},sediment samples were dried and powdered in an agate mortar and pestle; <75 mm,50 mg of sample powder was digested in concentrated HF+ HNO3 + HCl solution in the ratio of (8:4:2),4498-1_Duttetal_2026_BulkAnalysis.xls,3 Data,7,J,SRC_EARTHCHEM_ECL_4498_DUTT_2026,10.60520/IEDA/114498,https://ecl.earthchem.org/view.php?id=4498,CC-BY-4.0,118bc636e3cd7a3b42a109ca4c6985b7a4926f2f,dc29e57f88ed3846140751d12319bb5f2d446f7baf9b853918e94e3ff0decb30,"Dutt, A.; Paul, D.; Goswami, V.; Ray, D.; Dash, J.K. (2026). Analytical data of Li-rich pegmatites and associated leucogranites of the Assam-Meghalaya Gneissic Complex, northeast India, Version 1.0. Interdisciplinary Earth Data Alliance (IEDA). https://doi.org/10.60520/IEDA/114498",2026-09-10,false,independent_geochemical_context,excluded_from_v0.6_model_pending_spatial_validation,[]
ECL4498-BULK-C1-001-03-AL2O3,ECL4498-SAMPLE-C1,C1,ECL4498-SITE-C6B15AB1AA,26.30345,90.37555,EPSG:4326,863ce0997ffffff,Assam,Dhubri,bulk,1,bulk sample powder,,,,Al2O3,major_oxide,aluminium oxide (alumina),curated_standard_chemical_name,"[""element:aluminium""]","[""compound:alumina""]",27.3,27.3,measured_numeric,,wt.%,wt.%,1,1,WD-XRF,Rigaku ZSX Primus II,"Advanced Center for Material Science, Indian Institute of Technology, Kanpur (IITK)","[""accuracy better than 2%""]","[{""name"":""MAN"",""measured_value"":14.5,""reported_uncertainty_or_accuracy"":""accuracy better than 2%"",""reported_uncertainty_unit"":""wt.%"",""number_of_measurements"":""""},{""name"":""GA"",""measured_value"":17.7,""reported_uncertainty_or_accuracy"":""accuracy better than 2%"",""reported_uncertainty_unit"":""wt.%"",""number_of_measurements"":""""}]",false,,,,,{},sediment samples were dried and powdered in an agate mortar and pestle; <75 mm,50 mg of sample powder was digested in concentrated HF+ HNO3 + HCl solution in the ratio of (8:4:2),4498-1_Duttetal_2026_BulkAnalysis.xls,3 Data,7,K,SRC_EARTHCHEM_ECL_4498_DUTT_2026,10.60520/IEDA/114498,https://ecl.earthchem.org/view.php?id=4498,CC-BY-4.0,118bc636e3cd7a3b42a109ca4c6985b7a4926f2f,dc29e57f88ed3846140751d12319bb5f2d446f7baf9b853918e94e3ff0decb30,"Dutt, A.; Paul, D.; Goswami, V.; Ray, D.; Dash, J.K. (2026). Analytical data of Li-rich pegmatites and associated leucogranites of the Assam-Meghalaya Gneissic Complex, northeast India, Version 1.0. Interdisciplinary Earth Data Alliance (IEDA). https://doi.org/10.60520/IEDA/114498",2026-09-10,false,independent_geochemical_context,excluded_from_v0.6_model_pending_spatial_validation,[]
ECL4498-BULK-C1-001-04-FE2O3,ECL4498-SAMPLE-C1,C1,ECL4498-SITE-C6B15AB1AA,26.30345,90.37555,EPSG:4326,863ce0997ffffff,Assam,Dhubri,bulk,1,bulk sample powder,,,,Fe2O3,major_oxide,iron(III) oxide,curated_standard_chemical_name,"[""element:iron""]","[""element:iron""]",0.03,0.03,measured_numeric,,wt.%,wt.%,1,1,WD-XRF,Rigaku ZSX Primus II,"Advanced Center for Material Science, Indian Institute of Technology, Kanpur (IITK)","[""accuracy better than 2%""]","[{""name"":""MAN"",""measured_value"":1.37,""reported_uncertainty_or_accuracy"":""accuracy better than 2%"",""reported_uncertainty_unit"":""wt.%"",""number_of_measurements"":""""},{""name"":""GA"",""measured_value"":0.14,""reported_uncertainty_or_accuracy"":""accuracy better than 2%"",""reported_uncertainty_unit"":""wt.%"",""number_of_measurements"":""""}]",false,,,,,{},sediment samples were dried and powdered in an agate mortar and pestle; <75 mm,50 mg of sample powder was digested in concentrated HF+ HNO3 + HCl solution in the ratio of (8:4:2),4498-1_Duttetal_2026_BulkAnalysis.xls,3 Data,7,L,SRC_EARTHCHEM_ECL_4498_DUTT_2026,10.60520/IEDA/114498,https://ecl.earthchem.org/view.php?id=4498,CC-BY-4.0,118bc636e3cd7a3b42a109ca4c6985b7a4926f2f,dc29e57f88ed3846140751d12319bb5f2d446f7baf9b853918e94e3ff0decb30,"Dutt, A.; Paul, D.; Goswami, V.; Ray, D.; Dash, J.K. (2026). Analytical data of Li-rich pegmatites and associated leucogranites of the Assam-Meghalaya Gneissic Complex, northeast India, Version 1.0. Interdisciplinary Earth Data Alliance (IEDA). https://doi.org/10.60520/IEDA/114498",2026-09-10,false,independent_geochemical_context,excluded_from_v0.6_model_pending_spatial_validation,[]
ECL4498-BULK-C1-001-05-MNO,ECL4498-SAMPLE-C1,C1,ECL4498-SITE-C6B15AB1AA,26.30345,90.37555,EPSG:4326,863ce0997ffffff,Assam,Dhubri,bulk,1,bulk sample powder,,,,MnO,major_oxide,manganese(II) oxide,curated_standard_chemical_name,"[""element:manganese""]","[""element:manganese""]",0.2,0.2,measured_numeric,,wt.%,wt.%,1,1,WD-XRF,Rigaku ZSX Primus II,"Advanced Center for Material Science, Indian Institute of Technology, Kanpur (IITK)","[""accuracy better than 2%""]","[{""name"":""MAN"",""measured_value"":0.11,""reported_uncertainty_or_accuracy"":""accuracy better than 2%"",""reported_uncertainty_unit"":""wt.%"",""number_of_measurements"":""""},{""name"":""GA"",""measured_value"":0.04,""reported_uncertainty_or_accuracy"":""accuracy better than 2%"",""reported_uncertainty_unit"":""wt.%"",""number_of_measurements"":""""}]",false,,,,,{},sediment samples were dried and powdered in an agate mortar and pestle; <75 mm,50 mg of sample powder was digested in concentrated HF+ HNO3 + HCl solution in the ratio of (8:4:2),4498-1_Duttetal_2026_BulkAnalysis.xls,3 Data,7,M,SRC_EARTHCHEM_ECL_4498_DUTT_2026,10.60520/IEDA/114498,https://ecl.earthchem.org/view.php?id=4498,CC-BY-4.0,118bc636e3cd7a3b42a109ca4c6985b7a4926f2f,dc29e57f88ed3846140751d12319bb5f2d446f7baf9b853918e94e3ff0decb30,"Dutt, A.; Paul, D.; Goswami, V.; Ray, D.; Dash, J.K. (2026). Analytical data of Li-rich pegmatites and associated leucogranites of the Assam-Meghalaya Gneissic Complex, northeast India, Version 1.0. Interdisciplinary Earth Data Alliance (IEDA). https://doi.org/10.60520/IEDA/114498",2026-09-10,false,independent_geochemical_context,excluded_from_v0.6_model_pending_spatial_validation,[]
ECL4498-BULK-C1-001-06-MGO,ECL4498-SAMPLE-C1,C1,ECL4498-SITE-C6B15AB1AA,26.30345,90.37555,EPSG:4326,863ce0997ffffff,Assam,Dhubri,bulk,1,bulk sample powder,,,,MgO,major_oxide,magnesium oxide,curated_standard_chemical_name,"[""element:magnesium""]","[""element:magnesium""]",0.04,0.04,measured_numeric,,wt.%,wt.%,1,1,WD-XRF,Rigaku ZSX Primus II,"Advanced Center for Material Science, Indian Institute of Technology, Kanpur (IITK)","[""accuracy better than 2%""]","[{""name"":""MAN"",""measured_value"":1.02,""reported_uncertainty_or_accuracy"":""accuracy better than 2%"",""reported_uncertainty_unit"":""wt.%"",""number_of_measurements"":""""},{""name"":""GA"",""measured_value"":0.03,""reported_uncertainty_or_accuracy"":""accuracy better than 2%"",""reported_uncertainty_unit"":""wt.%"",""number_of_measurements"":""""}]",false,,,,,{},sediment samples were dried and powdered in an agate mortar and pestle; <75 mm,50 mg of sample powder was digested in concentrated HF+ HNO3 + HCl solution in the ratio of (8:4:2),4498-1_Duttetal_2026_BulkAnalysis.xls,3 Data,7,N,SRC_EARTHCHEM_ECL_4498_DUTT_2026,10.60520/IEDA/114498,https://ecl.earthchem.org/view.php?id=4498,CC-BY-4.0,118bc636e3cd7a3b42a109ca4c6985b7a4926f2f,dc29e57f88ed3846140751d12319bb5f2d446f7baf9b853918e94e3ff0decb30,"Dutt, A.; Paul, D.; Goswami, V.; Ray, D.; Dash, J.K. (2026). Analytical data of Li-rich pegmatites and associated leucogranites of the Assam-Meghalaya Gneissic Complex, northeast India, Version 1.0. Interdisciplinary Earth Data Alliance (IEDA). https://doi.org/10.60520/IEDA/114498",2026-09-10,false,independent_geochemical_context,excluded_from_v0.6_model_pending_spatial_validation,[]
ECL4498-BULK-C1-001-07-CAO,ECL4498-SAMPLE-C1,C1,ECL4498-SITE-C6B15AB1AA,26.30345,90.37555,EPSG:4326,863ce0997ffffff,Assam,Dhubri,bulk,1,bulk sample powder,,,,CaO,major_oxide,calcium oxide,curated_standard_chemical_name,"[""element:calcium""]","[""element:calcium""]",0.04,0.04,measured_numeric,,wt.%,wt.%,1,1,WD-XRF,Rigaku ZSX Primus II,"Advanced Center for Material Science, Indian Institute of Technology, Kanpur (IITK)","[""accuracy better than 2%""]","[{""name"":""MAN"",""measured_value"":2.46,""reported_uncertainty_or_accuracy"":""accuracy better than 2%"",""reported_uncertainty_unit"":""wt.%"",""number_of_measurements"":""""},{""name"":""GA"",""measured_value"":0.57,""reported_uncertainty_or_accuracy"":""accuracy better than 2%"",""reported_uncertainty_unit"":""wt.%"",""number_of_measurements"":""""}]",false,,,,,{},sediment samples were dried and powdered in an agate mortar and pestle; <75 mm,50 mg of sample powder was digested in concentrated HF+ HNO3 + HCl solution in the ratio of (8:4:2),4498-1_Duttetal_2026_BulkAnalysis.xls,3 Data,7,O,SRC_EARTHCHEM_ECL_4498_DUTT_2026,10.60520/IEDA/114498,https://ecl.earthchem.org/view.php?id=4498,CC-BY-4.0,118bc636e3cd7a3b42a109ca4c6985b7a4926f2f,dc29e57f88ed3846140751d12319bb5f2d446f7baf9b853918e94e3ff0decb30,"Dutt, A.; Paul, D.; Goswami, V.; Ray, D.; Dash, J.K. (2026). Analytical data of Li-rich pegmatites and associated leucogranites of the Assam-Meghalaya Gneissic Complex, northeast India, Version 1.0. Interdisciplinary Earth Data Alliance (IEDA). https://doi.org/10.60520/IEDA/114498",2026-09-10,false,independent_geochemical_context,excluded_from_v0.6_model_pending_spatial_validation,[]
ECL4498-BULK-C1-001-08-K2O,ECL4498-SAMPLE-C1,C1,ECL4498-SITE-C6B15AB1AA,26.30345,90.37555,EPSG:4326,863ce0997ffffff,Assam,Dhubri,bulk,1,bulk sample powder,,,,K2O,major_oxide,potassium oxide,curated_standard_chemical_name,[],[],10.1,10.1,measured_numeric,,wt.%,wt.%,1,1,WD-XRF,Rigaku ZSX Primus II,"Advanced Center for Material Science, Indian Institute of Technology, Kanpur (IITK)","[""accuracy better than 2%""]","[{""name"":""MAN"",""measured_value"":4.08,""reported_uncertainty_or_accuracy"":""accuracy better than 2%"",""reported_uncertainty_unit"":""wt.%"",""number_of_measurements"":""""},{""name"":""GA"",""measured_value"":3.18,""reported_uncertainty_or_accuracy"":""accuracy better than 2%"",""reported_uncertainty_unit"":""wt.%"",""number_of_measurements"":""""}]",false,,,,,{},sediment samples were dried and powdered in an agate mortar and pestle; <75 mm,50 mg of sample powder was digested in concentrated HF+ HNO3 + HCl solution in the ratio of (8:4:2),4498-1_Duttetal_2026_BulkAnalysis.xls,3 Data,7,P,SRC_EARTHCHEM_ECL_4498_DUTT_2026,10.60520/IEDA/114498,https://ecl.earthchem.org/view.php?id=4498,CC-BY-4.0,118bc636e3cd7a3b42a109ca4c6985b7a4926f2f,dc29e57f88ed3846140751d12319bb5f2d446f7baf9b853918e94e3ff0decb30,"Dutt, A.; Paul, D.; Goswami, V.; Ray, D.; Dash, J.K. (2026). Analytical data of Li-rich pegmatites and associated leucogranites of the Assam-Meghalaya Gneissic Complex, northeast India, Version 1.0. Interdisciplinary Earth Data Alliance (IEDA). https://doi.org/10.60520/IEDA/114498",2026-09-10,false,independent_geochemical_context,excluded_from_v0.6_model_pending_spatial_validation,[]
ECL4498-BULK-C1-001-09-NA2O,ECL4498-SAMPLE-C1,C1,ECL4498-SITE-C6B15AB1AA,26.30345,90.37555,EPSG:4326,863ce0997ffffff,Assam,Dhubri,bulk,1,bulk sample powder,,,,Na2O,major_oxide,sodium oxide,curated_standard_chemical_name,[],[],0,0,measured_numeric,,wt.%,wt.%,1,1,WD-XRF,Rigaku ZSX Primus II,"Advanced Center for Material Science, Indian Institute of Technology, Kanpur (IITK)","[""accuracy better than 2%""]","[{""name"":""MAN"",""measured_value"":3.53,""reported_uncertainty_or_accuracy"":""accuracy better than 2%"",""reported_uncertainty_unit"":""wt.%"",""number_of_measurements"":""""},{""name"":""GA"",""measured_value"":5.82,""reported_uncertainty_or_accuracy"":""accuracy better than 2%"",""reported_uncertainty_unit"":""wt.%"",""number_of_measurements"":""""}]",false,,,,,{},sediment samples were dried and powdered in an agate mortar and pestle; <75 mm,50 mg of sample powder was digested in concentrated HF+ HNO3 + HCl solution in the ratio of (8:4:2),4498-1_Duttetal_2026_BulkAnalysis.xls,3 Data,7,Q,SRC_EARTHCHEM_ECL_4498_DUTT_2026,10.60520/IEDA/114498,https://ecl.earthchem.org/view.php?id=4498,CC-BY-4.0,118bc636e3cd7a3b42a109ca4c6985b7a4926f2f,dc29e57f88ed3846140751d12319bb5f2d446f7baf9b853918e94e3ff0decb30,"Dutt, A.; Paul, D.; Goswami, V.; Ray, D.; Dash, J.K. (2026). Analytical data of Li-rich pegmatites and associated leucogranites of the Assam-Meghalaya Gneissic Complex, northeast India, Version 1.0. Interdisciplinary Earth Data Alliance (IEDA). https://doi.org/10.60520/IEDA/114498",2026-09-10,false,independent_geochemical_context,excluded_from_v0.6_model_pending_spatial_validation,[]
ECL4498-BULK-C1-001-10-P2O5,ECL4498-SAMPLE-C1,C1,ECL4498-SITE-C6B15AB1AA,26.30345,90.37555,EPSG:4326,863ce0997ffffff,Assam,Dhubri,bulk,1,bulk sample powder,,,,P2O5,major_oxide,phosphorus pentoxide,curated_standard_chemical_name,"[""element:phosphorus""]","[""element:phosphorus""]",0.03,0.03,measured_numeric,,wt.%,wt.%,1,1,WD-XRF,Rigaku ZSX Primus II,"Advanced Center for Material Science, Indian Institute of Technology, Kanpur (IITK)","[""accuracy better than 2%""]","[{""name"":""MAN"",""measured_value"":0.14,""reported_uncertainty_or_accuracy"":""accuracy better than 2%"",""reported_uncertainty_unit"":""wt.%"",""number_of_measurements"":""""},{""name"":""GA"",""measured_value"":1.35,""reported_uncertainty_or_accuracy"":""accuracy better than 2%"",""reported_uncertainty_unit"":""wt %"",""number_of_measurements"":""""}]",false,,,,,{},sediment samples were dried and powdered in an agate mortar and pestle; <75 mm,50 mg of sample powder was digested in concentrated HF+ HNO3 + HCl solution in the ratio of (8:4:2),4498-1_Duttetal_2026_BulkAnalysis.xls,3 Data,7,R,SRC_EARTHCHEM_ECL_4498_DUTT_2026,10.60520/IEDA/114498,https://ecl.earthchem.org/view.php?id=4498,CC-BY-4.0,118bc636e3cd7a3b42a109ca4c6985b7a4926f2f,dc29e57f88ed3846140751d12319bb5f2d446f7baf9b853918e94e3ff0decb30,"Dutt, A.; Paul, D.; Goswami, V.; Ray, D.; Dash, J.K. (2026). Analytical data of Li-rich pegmatites and associated leucogranites of the Assam-Meghalaya Gneissic Complex, northeast India, Version 1.0. Interdisciplinary Earth Data Alliance (IEDA). https://doi.org/10.60520/IEDA/114498",2026-09-10,false,independent_geochemical_context,excluded_from_v0.6_model_pending_spatial_validation,[]
