record_id,source_id,catalog_key,catalog_nid,catalog_uuid,resource_nid,resource_uuid,source_row_position,commodity_source,normalized_material_ids_json,normalized_material_names_json,chemical_names_json,symbols_or_formulae_json,model_target_names_json,metallogenic_province_source,locality_source,source_state_name,toposheet_source,latitude_source,longitude_source,source_latdd,source_londd,latitude_min,latitude_max,longitude_min,longitude_max,representative_latitude,representative_longitude,coordinate_geometry_type,representative_coordinate_method,coordinate_reference_system,coordinate_precision_note,coordinate_span_km,h3_r6,state_or_ut_2011,district_2011,centroid_in_source_state_2011_boundary,host_rock_source,morphogenesis_source,formation_source,source_catalog_total_rows,preview_rows_returned,preview_coverage_pct,source_selection_mechanism,source_catalog_url,source_resource_url,source_preview_endpoint_url,source_workbook_metadata_url,source_release_date,source_updated_timestamp,source_license,source_license_url,nearest_known_site_record_id,nearest_known_site_km,nearest_known_comparable_material_record_id,nearest_known_comparable_material_km,nearest_known_comparable_material_within_25km,exact_normalized_locality_match_in_known_sites,knowledge_independence_status,model_evidence_role,model_exclusion_reason,data_quality_flags_json
GSI-OGD-BARYTE-PREVIEW-001,SRC_GSI_OGD_MINERAL_DEPOSIT_CATALOGS_2013,baryte,88879,e00c942c-acb4-4c3c-9d1a-6639ef38290c,88878,916bae9d-b387-44f4-8aaf-5650c0174e51,1,Baryte,"[""element:barium"",""mineral:baryte""]","[""Barium"",""Baryte""]","[""barium sulfate""]","[""Ba"",""Ba(SO4)""]","[""Barium""]",ARAVALLI BELT,RELPATALIYA,RAJASTHAN,45 H,24 24N,73 51E,,,24.4,24.4,73.85,73.85,24.4,73.85,point,source_published_dms_point_encoded_as_decimal_degrees,EPSG:4326 encoding; source datum not stated,"Source DMS point or range; a range midpoint is representative context, not a surveyed deposit boundary.",0.0,8642cda5fffffff,Rajasthan,Udaipur,True,GNEISSES FLANKED BY METABASICS,"MASSIVE BAND,VEINS",ARAVALLI,9,8,88.888889,first_rows_returned_by_public_portal_preview_not_random,https://www.data.gov.in/catalog/location-baryte-deposits-india-and-its-salient-features,https://www.data.gov.in/resource/location-baryte-deposits-india-and-its-salient-features,https://www.data.gov.in/backend/dms/v1/ogdp/resource/data/preview/88878?_format=json,https://www.data.gov.in/files/ogdpv2dms/s3fs-public/datafile/Baryte_1.xls,2013-05-06,2014-04-17T09:23:38+00:00,Government Open Data License - India,https://www.data.gov.in/godl,MRDS-10183096,7.515113,MRDS-10182981,108.102726,False,False,not_demonstrated_historical_catalog_may_overlap_prior_geological_knowledge,context_only_excluded_from_v0_6_training_validation_scoring,preview_is_incomplete_nonrandom_and_not_proven_knowledge_independent,[]
GSI-OGD-BARYTE-PREVIEW-002,SRC_GSI_OGD_MINERAL_DEPOSIT_CATALOGS_2013,baryte,88879,e00c942c-acb4-4c3c-9d1a-6639ef38290c,88878,916bae9d-b387-44f4-8aaf-5650c0174e51,2,Baryte,"[""element:barium"",""mineral:baryte""]","[""Barium"",""Baryte""]","[""barium sulfate""]","[""Ba"",""Ba(SO4)""]","[""Barium""]",CUDDAPAH BASIN,CHIMALAPENTA,ANDHRA PRADESH,57 J,14 25N,78 35E,,,14.41666667,14.41666667,78.58333333,78.58333333,14.41666667,78.58333333,point,source_published_dms_point_encoded_as_decimal_degrees,EPSG:4326 encoding; source datum not stated,"Source DMS point or range; a range midpoint is representative context, not a surveyed deposit boundary.",0.0,86618b40fffffff,Andhra Pradesh,Y.s.r.,True,"SHEARS WITHIN DOLOMITE,LIMESTONE,TRAP",LENSE ALONG SHEAR,NALLAMALAI Gp(CUDDAPAH Sgp.),9,8,88.888889,first_rows_returned_by_public_portal_preview_not_random,https://www.data.gov.in/catalog/location-baryte-deposits-india-and-its-salient-features,https://www.data.gov.in/resource/location-baryte-deposits-india-and-its-salient-features,https://www.data.gov.in/backend/dms/v1/ogdp/resource/data/preview/88878?_format=json,https://www.data.gov.in/files/ogdpv2dms/s3fs-public/datafile/Baryte_1.xls,2013-05-06,2014-04-17T09:23:38+00:00,Government Open Data License - India,https://www.data.gov.in/godl,MRDS-10256300,4.72638,MRDS-10207218,16.189232,True,False,not_demonstrated_historical_catalog_may_overlap_prior_geological_knowledge,context_only_excluded_from_v0_6_training_validation_scoring,preview_is_incomplete_nonrandom_and_not_proven_knowledge_independent,[]
GSI-OGD-BARYTE-PREVIEW-003,SRC_GSI_OGD_MINERAL_DEPOSIT_CATALOGS_2013,baryte,88879,e00c942c-acb4-4c3c-9d1a-6639ef38290c,88878,916bae9d-b387-44f4-8aaf-5650c0174e51,3,Baryte,"[""element:barium"",""mineral:baryte""]","[""Barium"",""Baryte""]","[""barium sulfate""]","[""Ba"",""Ba(SO4)""]","[""Barium""]",CUDDAPAH BASIN,MANGAMPETA,ANDHRA PRADESH,57 N,14 00N,79 19E,,,14.0,14.0,79.31666667,79.31666667,14.0,79.31666667,point,source_published_dms_point_encoded_as_decimal_degrees,EPSG:4326 encoding; source datum not stated,"Source DMS point or range; a range midpoint is representative context, not a surveyed deposit boundary.",0.0,86618aa27ffffff,Andhra Pradesh,Y.s.r.,True,CARBONACEOUS HORIZON OF PULLAMPET TUFF,STRATIFORM-BEDDED,CUMBUM(CUDDAPAH),9,8,88.888889,first_rows_returned_by_public_portal_preview_not_random,https://www.data.gov.in/catalog/location-baryte-deposits-india-and-its-salient-features,https://www.data.gov.in/resource/location-baryte-deposits-india-and-its-salient-features,https://www.data.gov.in/backend/dms/v1/ogdp/resource/data/preview/88878?_format=json,https://www.data.gov.in/files/ogdpv2dms/s3fs-public/datafile/Baryte_1.xls,2013-05-06,2014-04-17T09:23:38+00:00,Government Open Data License - India,https://www.data.gov.in/godl,MRDS-10182655,55.53016,MRDS-10207218,78.0895,False,False,not_demonstrated_historical_catalog_may_overlap_prior_geological_knowledge,context_only_excluded_from_v0_6_training_validation_scoring,preview_is_incomplete_nonrandom_and_not_proven_knowledge_independent,[]
GSI-OGD-BARYTE-PREVIEW-004,SRC_GSI_OGD_MINERAL_DEPOSIT_CATALOGS_2013,baryte,88879,e00c942c-acb4-4c3c-9d1a-6639ef38290c,88878,916bae9d-b387-44f4-8aaf-5650c0174e51,4,Baryte,"[""element:barium"",""mineral:baryte""]","[""Barium"",""Baryte""]","[""barium sulfate""]","[""Ba"",""Ba(SO4)""]","[""Barium""]",CUDDAPAH BASIN,VEMULA,ANDHRA PRADESH,57 J,14 20N,78 15E,,,14.33333333,14.33333333,78.25,78.25,14.33333333,78.25,point,source_published_dms_point_encoded_as_decimal_degrees,EPSG:4326 encoding; source datum not stated,"Source DMS point or range; a range midpoint is representative context, not a surveyed deposit boundary.",0.0,86618b627ffffff,Andhra Pradesh,Y.s.r.,True,FRACTURED TRAP ROCK,VEIN TYPE DEPOSIT,CHITRAVATI Gp.,9,8,88.888889,first_rows_returned_by_public_portal_preview_not_random,https://www.data.gov.in/catalog/location-baryte-deposits-india-and-its-salient-features,https://www.data.gov.in/resource/location-baryte-deposits-india-and-its-salient-features,https://www.data.gov.in/backend/dms/v1/ogdp/resource/data/preview/88878?_format=json,https://www.data.gov.in/files/ogdpv2dms/s3fs-public/datafile/Baryte_1.xls,2013-05-06,2014-04-17T09:23:38+00:00,Government Open Data License - India,https://www.data.gov.in/godl,MRDS-10256300,40.929729,MRDS-10207218,52.918218,False,False,not_demonstrated_historical_catalog_may_overlap_prior_geological_knowledge,context_only_excluded_from_v0_6_training_validation_scoring,preview_is_incomplete_nonrandom_and_not_proven_knowledge_independent,[]
GSI-OGD-BARYTE-PREVIEW-005,SRC_GSI_OGD_MINERAL_DEPOSIT_CATALOGS_2013,baryte,88879,e00c942c-acb4-4c3c-9d1a-6639ef38290c,88878,916bae9d-b387-44f4-8aaf-5650c0174e51,5,Baryte,"[""element:barium"",""mineral:baryte""]","[""Barium"",""Baryte""]","[""barium sulfate""]","[""Ba"",""Ba(SO4)""]","[""Barium""]",DELHI FOLD BELT,JAMRAULI,RAJASTHAN,54 A,27 05N,76 40E,,,27.08333333,27.08333333,76.66666667,76.66666667,27.08333333,76.66666667,point,source_published_dms_point_encoded_as_decimal_degrees,EPSG:4326 encoding; source datum not stated,"Source DMS point or range; a range midpoint is representative context, not a surveyed deposit boundary.",0.0,863da3517ffffff,Rajasthan,Dausa,True,QUARTZITE,"FISSURE,VEINS",ALWAR Gp.,9,8,88.888889,first_rows_returned_by_public_portal_preview_not_random,https://www.data.gov.in/catalog/location-baryte-deposits-india-and-its-salient-features,https://www.data.gov.in/resource/location-baryte-deposits-india-and-its-salient-features,https://www.data.gov.in/backend/dms/v1/ogdp/resource/data/preview/88878?_format=json,https://www.data.gov.in/files/ogdpv2dms/s3fs-public/datafile/Baryte_1.xls,2013-05-06,2014-04-17T09:23:38+00:00,Government Open Data License - India,https://www.data.gov.in/godl,MRDS-10279780,28.230453,MRDS-10182981,466.683344,False,False,not_demonstrated_historical_catalog_may_overlap_prior_geological_knowledge,context_only_excluded_from_v0_6_training_validation_scoring,preview_is_incomplete_nonrandom_and_not_proven_knowledge_independent,[]
GSI-OGD-BARYTE-PREVIEW-006,SRC_GSI_OGD_MINERAL_DEPOSIT_CATALOGS_2013,baryte,88879,e00c942c-acb4-4c3c-9d1a-6639ef38290c,88878,916bae9d-b387-44f4-8aaf-5650c0174e51,6,Baryte,"[""element:barium"",""mineral:baryte""]","[""Barium"",""Baryte""]","[""barium sulfate""]","[""Ba"",""Ba(SO4)""]","[""Barium""]",GHATTIHOSAHALLI BELT,GHATTIHOSAHALLI,KARNATAKA,57 C,13 59N,76 17E,,,13.98333333,13.98333333,76.28333333,76.28333333,13.98333333,76.28333333,point,source_published_dms_point_encoded_as_decimal_degrees,EPSG:4326 encoding; source datum not stated,"Source DMS point or range; a range midpoint is representative context, not a surveyed deposit boundary.",0.0,866012a77ffffff,Karnataka,Chitradurga,True,"FUCHSITE QUARTZITE,AMPHIBOLITE",BEDDED,BABABUDAN(DHARWAR).,9,8,88.888889,first_rows_returned_by_public_portal_preview_not_random,https://www.data.gov.in/catalog/location-baryte-deposits-india-and-its-salient-features,https://www.data.gov.in/resource/location-baryte-deposits-india-and-its-salient-features,https://www.data.gov.in/backend/dms/v1/ogdp/resource/data/preview/88878?_format=json,https://www.data.gov.in/files/ogdpv2dms/s3fs-public/datafile/Baryte_1.xls,2013-05-06,2014-04-17T09:23:38+00:00,Government Open Data License - India,https://www.data.gov.in/godl,MRDS-10183456,27.311029,MRDS-10207218,268.500005,False,False,not_demonstrated_historical_catalog_may_overlap_prior_geological_knowledge,context_only_excluded_from_v0_6_training_validation_scoring,preview_is_incomplete_nonrandom_and_not_proven_knowledge_independent,[]
GSI-OGD-BARYTE-PREVIEW-007,SRC_GSI_OGD_MINERAL_DEPOSIT_CATALOGS_2013,baryte,88879,e00c942c-acb4-4c3c-9d1a-6639ef38290c,88878,916bae9d-b387-44f4-8aaf-5650c0174e51,7,Baryte,"[""element:barium"",""mineral:baryte""]","[""Barium"",""Baryte""]","[""barium sulfate""]","[""Ba"",""Ba(SO4)""]","[""Barium""]",MAHAKOSHAL BELT,SUKWARI,MADHYA PRADESH,63 H,24 20N,81 50E,,,24.33333333,24.33333333,81.83333333,81.83333333,24.33333333,81.83333333,point,source_published_dms_point_encoded_as_decimal_degrees,EPSG:4326 encoding; source datum not stated,"Source DMS point or range; a range midpoint is representative context, not a surveyed deposit boundary.",0.0,863ca4067ffffff,Madhya Pradesh,Sidhi,True,"TALC-CHLORITE SCHIST,METADOLERITE","VEINS,FRACTURE FILLING",MAHAKOSHAL Gp.,9,8,88.888889,first_rows_returned_by_public_portal_preview_not_random,https://www.data.gov.in/catalog/location-baryte-deposits-india-and-its-salient-features,https://www.data.gov.in/resource/location-baryte-deposits-india-and-its-salient-features,https://www.data.gov.in/backend/dms/v1/ogdp/resource/data/preview/88878?_format=json,https://www.data.gov.in/files/ogdpv2dms/s3fs-public/datafile/Baryte_1.xls,2013-05-06,2014-04-17T09:23:38+00:00,Government Open Data License - India,https://www.data.gov.in/godl,MRDS-10206800,7.011482,MRDS-10182981,776.233557,False,False,not_demonstrated_historical_catalog_may_overlap_prior_geological_knowledge,context_only_excluded_from_v0_6_training_validation_scoring,preview_is_incomplete_nonrandom_and_not_proven_knowledge_independent,[]
GSI-OGD-BARYTE-PREVIEW-008,SRC_GSI_OGD_MINERAL_DEPOSIT_CATALOGS_2013,baryte,88879,e00c942c-acb4-4c3c-9d1a-6639ef38290c,88878,916bae9d-b387-44f4-8aaf-5650c0174e51,8,Baryte,"[""element:barium"",""mineral:baryte""]","[""Barium"",""Baryte""]","[""barium sulfate""]","[""Ba"",""Ba(SO4)""]","[""Barium""]",NELLORE TECTONIC BELT,VINJAMUR-KODANDARMA,ANDHRA PRADESH,57 N,14 45N,79 35E,,,14.75,14.75,79.58333333,79.58333333,14.75,79.58333333,point,source_published_dms_point_encoded_as_decimal_degrees,EPSG:4326 encoding; source datum not stated,"Source DMS point or range; a range midpoint is representative context, not a surveyed deposit boundary.",0.0,86618a457ffffff,Andhra Pradesh,Sri Potti Sriramulu Nellore,True,"VOLCANICS,CARBONATITE,TUFF","MASSIVE BANDS,BEDDED",NELLORE Gp.,9,8,88.888889,first_rows_returned_by_public_portal_preview_not_random,https://www.data.gov.in/catalog/location-baryte-deposits-india-and-its-salient-features,https://www.data.gov.in/resource/location-baryte-deposits-india-and-its-salient-features,https://www.data.gov.in/backend/dms/v1/ogdp/resource/data/preview/88878?_format=json,https://www.data.gov.in/files/ogdpv2dms/s3fs-public/datafile/Baryte_1.xls,2013-05-06,2014-04-17T09:23:38+00:00,Government Open Data License - India,https://www.data.gov.in/godl,MRDS-10231066,24.571894,MRDS-10207218,98.654174,False,False,not_demonstrated_historical_catalog_may_overlap_prior_geological_knowledge,context_only_excluded_from_v0_6_training_validation_scoring,preview_is_incomplete_nonrandom_and_not_proven_knowledge_independent,[]
GSI-OGD-BAUXITE-PREVIEW-001,SRC_GSI_OGD_MINERAL_DEPOSIT_CATALOGS_2013,bauxite,88877,4f0e265b-89ee-473c-9176-d6018fb3a3de,88876,9318a72b-de11-427c-8e3a-7ca878e2a89e,1,Bauxite,"[""element:aluminium"",""ore:bauxite""]","[""Aluminium"",""Bauxite""]","[""aluminium""]","[""Al""]","[""Aluminium""]",EAST COAST PROVINCE,ARAKU,ORISSA,65 J,18 16-18 22N,82 56-82 59E,,,18.26666667,18.36666667,82.93333333,82.98333333,18.31666667,82.95833333,coordinate_range,arithmetic_midpoint_of_source_published_dms_coordinate_ranges,EPSG:4326 encoding; source datum not stated,"Source DMS point or range; a range midpoint is representative context, not a surveyed deposit boundary.",12.308591,863c902d7ffffff,Andhra Pradesh,Visakhapatnam,False,CAPPING ON KHONDALITE,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,51,10,19.607843,first_rows_returned_by_public_portal_preview_not_random,https://www.data.gov.in/catalog/location-aluminum-deposits-bauxite-india-and-its-salient-features,https://www.data.gov.in/resource/location-aluminum-deposits-bauxite-india-and-its-salient-features,https://www.data.gov.in/backend/dms/v1/ogdp/resource/data/preview/88876?_format=json,https://www.data.gov.in/files/ogdpv2dms/s3fs-public/datafile/Aluminium_Ore_1.xls,2013-05-03,2014-04-17T09:23:38+00:00,Government Open Data License - India,https://www.data.gov.in/godl,MRDS-60000557,15.09201,MRDS-10134233,109.481471,False,False,not_demonstrated_historical_catalog_may_overlap_prior_geological_knowledge,context_only_excluded_from_v0_6_training_validation_scoring,preview_is_incomplete_nonrandom_and_not_proven_knowledge_independent,"[""source_state_differs_from_2011_boundary_at_representative_coordinate""]"
GSI-OGD-BAUXITE-PREVIEW-002,SRC_GSI_OGD_MINERAL_DEPOSIT_CATALOGS_2013,bauxite,88877,4f0e265b-89ee-473c-9176-d6018fb3a3de,88876,9318a72b-de11-427c-8e3a-7ca878e2a89e,2,Bauxite,"[""element:aluminium"",""ore:bauxite""]","[""Aluminium"",""Bauxite""]","[""aluminium""]","[""Al""]","[""Aluminium""]",EAST COAST PROVINCE,KARNAPODIKONDA,ANDHRA PRADESH,65 N,18 48N,83 05E,,,18.8,18.8,83.08333333,83.08333333,18.8,83.08333333,point,source_published_dms_point_encoded_as_decimal_degrees,EPSG:4326 encoding; source datum not stated,"Source DMS point or range; a range midpoint is representative context, not a surveyed deposit boundary.",0.0,863c91c1fffffff,Odisha,Koraput,False,CAPPING ON GRANULITE/GNEISSES,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,51,10,19.607843,first_rows_returned_by_public_portal_preview_not_random,https://www.data.gov.in/catalog/location-aluminum-deposits-bauxite-india-and-its-salient-features,https://www.data.gov.in/resource/location-aluminum-deposits-bauxite-india-and-its-salient-features,https://www.data.gov.in/backend/dms/v1/ogdp/resource/data/preview/88876?_format=json,https://www.data.gov.in/files/ogdpv2dms/s3fs-public/datafile/Aluminium_Ore_1.xls,2013-05-03,2014-04-17T09:23:38+00:00,Government Open Data License - India,https://www.data.gov.in/godl,MRDS-10003861,48.381819,MRDS-10134233,58.572794,False,False,not_demonstrated_historical_catalog_may_overlap_prior_geological_knowledge,context_only_excluded_from_v0_6_training_validation_scoring,preview_is_incomplete_nonrandom_and_not_proven_knowledge_independent,"[""source_state_differs_from_2011_boundary_at_representative_coordinate""]"
