record_id,record_type,source_id,source_serial_number,state_or_ut,state_source,district,mine_name,mine_name_source,mineral_source,normalized_material_ids_json,normalized_material_names_json,earlier_lessee,published_status,published_status_scope,current_legal_or_operational_status_verified,latitude,longitude,coordinate_source,location_precision,model_evidence_role,model_exclusion_reason,source_url,source_page_last_updated,source_access_date,source_page_sha256,source_table_row_number,quality_flags_json,notes
IBM-ABANDONED-001,official_abandoned_mine_inventory_record,SRC_IBM_ABANDONED_MINE_SITES,1,Andhra Pradesh,Andhra Pradesh,,Borra,Borra,Calcite,"[""group:calcium-and-limestone"",""mineral:calcite""]","[""Calcium and limestone"",""Calcite""]",Perl Glass India Ltd.,abandoned_or_orphaned_site_identified_for_reclamation_or_rehabilitation,one of 82 sites remaining after 24 of 106 identified sites became operational again,False,,,,state_and_named_mine_only,excluded_context_only,IBM page publishes no coordinate and does not establish current status; geocoding by name would be inferred evidence.,https://ibm.gov.in/IBMPortal/pages/Abandoned_Mine_Sites,2026-09-09,2026-09-10,e5164e21ea4f5447d13bcfe20654f81e8791b94913eaa5f51b7f2057f1379edb,2,"[""coordinates_not_published"",""district_not_published"",""current_status_not_independently_verified""]",Source wording is preserved. Earlier lessee is historical context and must not be interpreted as the current owner or rights holder.
IBM-ABANDONED-002,official_abandoned_mine_inventory_record,SRC_IBM_ABANDONED_MINE_SITES,2,Andhra Pradesh,Andhra Pradesh,,Budarayavalasa,Budarayavalasa,Lime kanker,"[""rock:lime-kankar""]","[""Lime kankar""]",M/s FACOR,abandoned_or_orphaned_site_identified_for_reclamation_or_rehabilitation,one of 82 sites remaining after 24 of 106 identified sites became operational again,False,,,,state_and_named_mine_only,excluded_context_only,IBM page publishes no coordinate and does not establish current status; geocoding by name would be inferred evidence.,https://ibm.gov.in/IBMPortal/pages/Abandoned_Mine_Sites,2026-09-09,2026-09-10,e5164e21ea4f5447d13bcfe20654f81e8791b94913eaa5f51b7f2057f1379edb,3,"[""coordinates_not_published"",""district_not_published"",""current_status_not_independently_verified""]",Source wording is preserved. Earlier lessee is historical context and must not be interpreted as the current owner or rights holder.
IBM-ABANDONED-003,official_abandoned_mine_inventory_record,SRC_IBM_ABANDONED_MINE_SITES,3,Andhra Pradesh,Andhra Pradesh,,Dasari Ramanaidu Valasa II,Dasari Ramanaidu Valasa II,Lime kanker,"[""rock:lime-kankar""]","[""Lime kankar""]",M/s FACOR,abandoned_or_orphaned_site_identified_for_reclamation_or_rehabilitation,one of 82 sites remaining after 24 of 106 identified sites became operational again,False,,,,state_and_named_mine_only,excluded_context_only,IBM page publishes no coordinate and does not establish current status; geocoding by name would be inferred evidence.,https://ibm.gov.in/IBMPortal/pages/Abandoned_Mine_Sites,2026-09-09,2026-09-10,e5164e21ea4f5447d13bcfe20654f81e8791b94913eaa5f51b7f2057f1379edb,4,"[""coordinates_not_published"",""district_not_published"",""current_status_not_independently_verified""]",Source wording is preserved. Earlier lessee is historical context and must not be interpreted as the current owner or rights holder.
IBM-ABANDONED-004,official_abandoned_mine_inventory_record,SRC_IBM_ABANDONED_MINE_SITES,4,Andhra Pradesh,Andhra Pradesh,,Dasari Ramanaidu Valasa I,Dasari Ramanaidu Valasa I,Lime kanker,"[""rock:lime-kankar""]","[""Lime kankar""]",M/s FACOR,abandoned_or_orphaned_site_identified_for_reclamation_or_rehabilitation,one of 82 sites remaining after 24 of 106 identified sites became operational again,False,,,,state_and_named_mine_only,excluded_context_only,IBM page publishes no coordinate and does not establish current status; geocoding by name would be inferred evidence.,https://ibm.gov.in/IBMPortal/pages/Abandoned_Mine_Sites,2026-09-09,2026-09-10,e5164e21ea4f5447d13bcfe20654f81e8791b94913eaa5f51b7f2057f1379edb,5,"[""coordinates_not_published"",""district_not_published"",""current_status_not_independently_verified""]",Source wording is preserved. Earlier lessee is historical context and must not be interpreted as the current owner or rights holder.
IBM-ABANDONED-005,official_abandoned_mine_inventory_record,SRC_IBM_ABANDONED_MINE_SITES,5,Andhra Pradesh,Andhra Pradesh,,Korlam I,Korlam I,Quartz,"[""element:silicon"",""mineral:quartz""]","[""Silicon"",""Quartz""]",M/s FACOR,abandoned_or_orphaned_site_identified_for_reclamation_or_rehabilitation,one of 82 sites remaining after 24 of 106 identified sites became operational again,False,,,,state_and_named_mine_only,excluded_context_only,IBM page publishes no coordinate and does not establish current status; geocoding by name would be inferred evidence.,https://ibm.gov.in/IBMPortal/pages/Abandoned_Mine_Sites,2026-09-09,2026-09-10,e5164e21ea4f5447d13bcfe20654f81e8791b94913eaa5f51b7f2057f1379edb,6,"[""coordinates_not_published"",""district_not_published"",""current_status_not_independently_verified""]",Source wording is preserved. Earlier lessee is historical context and must not be interpreted as the current owner or rights holder.
IBM-ABANDONED-006,official_abandoned_mine_inventory_record,SRC_IBM_ABANDONED_MINE_SITES,6,Andhra Pradesh,Andhra Pradesh,,Kunchagumadam,Kunchagumadam,Lime kanker,"[""rock:lime-kankar""]","[""Lime kankar""]",M/s FACOR,abandoned_or_orphaned_site_identified_for_reclamation_or_rehabilitation,one of 82 sites remaining after 24 of 106 identified sites became operational again,False,,,,state_and_named_mine_only,excluded_context_only,IBM page publishes no coordinate and does not establish current status; geocoding by name would be inferred evidence.,https://ibm.gov.in/IBMPortal/pages/Abandoned_Mine_Sites,2026-09-09,2026-09-10,e5164e21ea4f5447d13bcfe20654f81e8791b94913eaa5f51b7f2057f1379edb,7,"[""coordinates_not_published"",""district_not_published"",""current_status_not_independently_verified""]",Source wording is preserved. Earlier lessee is historical context and must not be interpreted as the current owner or rights holder.
IBM-ABANDONED-007,official_abandoned_mine_inventory_record,SRC_IBM_ABANDONED_MINE_SITES,7,Andhra Pradesh,Andhra Pradesh,,Moutoor,Moutoor,Feldspar,"[""group:feldspar-group""]","[""Feldspar group""]",Sh.B.A.Khan,abandoned_or_orphaned_site_identified_for_reclamation_or_rehabilitation,one of 82 sites remaining after 24 of 106 identified sites became operational again,False,,,,state_and_named_mine_only,excluded_context_only,IBM page publishes no coordinate and does not establish current status; geocoding by name would be inferred evidence.,https://ibm.gov.in/IBMPortal/pages/Abandoned_Mine_Sites,2026-09-09,2026-09-10,e5164e21ea4f5447d13bcfe20654f81e8791b94913eaa5f51b7f2057f1379edb,8,"[""coordinates_not_published"",""district_not_published"",""current_status_not_independently_verified""]",Source wording is preserved. Earlier lessee is historical context and must not be interpreted as the current owner or rights holder.
IBM-ABANDONED-008,official_abandoned_mine_inventory_record,SRC_IBM_ABANDONED_MINE_SITES,8,Andhra Pradesh,Andhra Pradesh,,Palakandyaur,Palakandyaur,Lime kanker,"[""rock:lime-kankar""]","[""Lime kankar""]",M/s FACOR,abandoned_or_orphaned_site_identified_for_reclamation_or_rehabilitation,one of 82 sites remaining after 24 of 106 identified sites became operational again,False,,,,state_and_named_mine_only,excluded_context_only,IBM page publishes no coordinate and does not establish current status; geocoding by name would be inferred evidence.,https://ibm.gov.in/IBMPortal/pages/Abandoned_Mine_Sites,2026-09-09,2026-09-10,e5164e21ea4f5447d13bcfe20654f81e8791b94913eaa5f51b7f2057f1379edb,9,"[""coordinates_not_published"",""district_not_published"",""current_status_not_independently_verified""]",Source wording is preserved. Earlier lessee is historical context and must not be interpreted as the current owner or rights holder.
IBM-ABANDONED-009,official_abandoned_mine_inventory_record,SRC_IBM_ABANDONED_MINE_SITES,9,Andhra Pradesh,Andhra Pradesh,,Pedabantupalli,Pedabantupalli,Lime kanker,"[""rock:lime-kankar""]","[""Lime kankar""]",M/s FACOR,abandoned_or_orphaned_site_identified_for_reclamation_or_rehabilitation,one of 82 sites remaining after 24 of 106 identified sites became operational again,False,,,,state_and_named_mine_only,excluded_context_only,IBM page publishes no coordinate and does not establish current status; geocoding by name would be inferred evidence.,https://ibm.gov.in/IBMPortal/pages/Abandoned_Mine_Sites,2026-09-09,2026-09-10,e5164e21ea4f5447d13bcfe20654f81e8791b94913eaa5f51b7f2057f1379edb,10,"[""coordinates_not_published"",""district_not_published"",""current_status_not_independently_verified""]",Source wording is preserved. Earlier lessee is historical context and must not be interpreted as the current owner or rights holder.
IBM-ABANDONED-010,official_abandoned_mine_inventory_record,SRC_IBM_ABANDONED_MINE_SITES,10,Andhra Pradesh,Andhra Pradesh,,Pullajipeta,Pullajipeta,Quartz,"[""element:silicon"",""mineral:quartz""]","[""Silicon"",""Quartz""]",M/s FACOR,abandoned_or_orphaned_site_identified_for_reclamation_or_rehabilitation,one of 82 sites remaining after 24 of 106 identified sites became operational again,False,,,,state_and_named_mine_only,excluded_context_only,IBM page publishes no coordinate and does not establish current status; geocoding by name would be inferred evidence.,https://ibm.gov.in/IBMPortal/pages/Abandoned_Mine_Sites,2026-09-09,2026-09-10,e5164e21ea4f5447d13bcfe20654f81e8791b94913eaa5f51b7f2057f1379edb,11,"[""coordinates_not_published"",""district_not_published"",""current_status_not_independently_verified""]",Source wording is preserved. Earlier lessee is historical context and must not be interpreted as the current owner or rights holder.
