record_id,state_or_ut,block_name,mineral_source,normalized_material_ids_json,auction_date,concession_type_code,ibm_area_ha,review_scope,curated_candidate_count,document_selection_rule,document_match_status,selected_mbs_file_id,selected_mbs_title,selected_mbs_url,selected_mbs_pdf_sha256,selected_mbs_pdf_bytes,selected_mbs_pdf_page_count,mbs_area_ha,ibm_to_mbs_area_difference_pct,geometry_admission_status,geometry_admission_reason,source_portal_url,source_access_date,model_evidence_role,model_exclusion_reason
IBM-IMYB2024-AUCTION-001,Andhra Pradesh,Adakula,Semi-Precious stone,"[""group:semi-precious-gemstones""]",2024-03-19,CL,36.997,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-002,Andhra Pradesh,Addankivaripalem,Iron Ore,"[""element:iron"",""ore:iron-ore""]",2023-07-28,CL,,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-003,Andhra Pradesh,Lakshmakapalle (North),Iron Ore,"[""element:iron"",""ore:iron-ore""]",2023-07-28,CL,,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-004,Andhra Pradesh,Lakshmakapalle (South),Iron Ore,"[""element:iron"",""ore:iron-ore""]",2023-07-28,CL,,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-005,Andhra Pradesh,Mincheri RF,Iron Ore,"[""element:iron"",""ore:iron-ore""]",2024-03-11,CL,1327.0,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-006,Chhattisgarh,North of Arjunda,Glauconite (Potash),"[""group:glauconite-group"",""group:potash""]",2023-07-04,CL,600.0,curated_alpha_9,2,highest_numeric_mstc_file_id,selected_curated_name_match,9821,Mineral Block Summary for North of Arjunda Glauconite Block dtd 28-04-2023,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=9821_Mineral_Block_Summary_of+North_of_Arjunda_Glauconite_Block_dtd_28_04_2023.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,6ec0a239169e76839043eef4b6d91ae9306137a6128130465e56910eef4fe992,208633,4,600.0,0.0,admitted_authoritative_source_footprint,"Source-labelled boundary table passed polygon validity, state-centroid and 5% area reconciliation checks.",https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-007,Chhattisgarh,Saloni Block,Limestone,"[""group:calcium-and-limestone"",""rock:limestone""]",2023-09-21,CL,600.0,curated_alpha_9,1,unique_curated_name_match,selected_curated_name_match,10831,Mineral Block Summary of Saloni Limestone Block dated 06-07-2023,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=10831_Mineral+Block+Summary+of+Saloni+Limestone+Block+dated+06-07-2023.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,7d84af288ed67bed9a3af7de72f82cfc9ed70e7ac2fd720165a8ad9cc0ae129f,829687,4,670.0,10.447761,withheld_source_conflict,IBM publishes 600 ha while the matched MBS publishes 670 ha; geometry withheld pending source reconciliation.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-008,Chhattisgarh,Devri Limestone Block,Limestone,"[""group:calcium-and-limestone"",""rock:limestone""]",2023-09-19,CL,630.0,curated_alpha_9,1,unique_curated_name_match,selected_curated_name_match,10828,Mineral Block Summary of Devri Limestone Block dated 06-07-2023,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=10828_Mineral+Block+Summary+of+Devri+Limestone+Block+dated+06-07-2023.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,ed3d6521e2db97a5d7b45c7956cf7848445d4fbece6ea6fff3540711c06c59c9,726059,4,630.0,0.0,admitted_authoritative_source_footprint,"Source-labelled boundary table passed polygon validity, state-centroid and 5% area reconciliation checks.",https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-009,Chhattisgarh,Kareli Chandi Block,Limestone,"[""group:calcium-and-limestone"",""rock:limestone""]",2023-09-20,CL,500.0,curated_alpha_9,1,unique_curated_name_match,selected_curated_name_match,10830,Mineral Block Summary of Kareli-Chandi Limestone Block dated 06-07-2023,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=10830_Mineral+Block+Summary+of+Kareli-Chandi+Limestone+Block+dated+06-07-2023.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,b8aba401a5c4945efdbc58922fd812b7ecd71f40f58eacfc8f1df5436db5a29e,1677942,4,500.0,0.0,withheld_source_conflict,The matched MBS prints malformed latitude seconds for points F and G ('34.4.00'); geometry withheld rather than corrected by inference.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-010,Chhattisgarh,Giroud Uprani Block,Glauconite,"[""group:glauconite-group""]",2023-09-27,CL,,curated_alpha_9,2,highest_numeric_mstc_file_id,selected_curated_name_match,10829,Mineral Block Summary of Giroud-Uprani Block dated 06-07-2023,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=10829_Mineral+Block+Summary+of+Giroud-Uprani+Block+dated+06-07-2023.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,0809a4c90696d4098f19f91a3246acd6b242293e1a6a6f3af9a63a49a4e1e650,233938,4,2400.0,,admitted_authoritative_source_footprint,"Source-labelled boundary table passed polygon validity, state-centroid and 5% area reconciliation checks.",https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
