record_id,record_type,source_id,source_serial_number,state_or_ut,state_source,block_name,block_name_source,mineral_source,normalized_material_ids_json,normalized_material_names_json,chemical_or_english_names_json,formulae_or_symbols_json,auction_date,concession_type_code,concession_type,area_ha,area_ha_source,area_available,published_status,published_status_scope,latitude,longitude,coordinates_published,geometry_published,current_legal_or_operational_status_verified,model_evidence_role,model_exclusion_reason,source_table,source_pdf_page,source_printed_page,source_url,source_access_date,source_document_sha256,quality_flags_json,notes
IBM-IMYB2024-AUCTION-001,official_auction_granted_concession_context,SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_CONCESSIONS,1,Andhra Pradesh,Andhra Pradesh,Adakula,Adakula,Semi-Precious stone,"[""group:semi-precious-gemstones""]","[""Semi-precious gemstones""]","[""Semi-precious gemstones""]",[],2024-03-19,CL,composite_licence,36.997,36.997,True,granted_through_auction_during_2023_24_per_ibm_table_title,IBM Table 5 yearbook compilation; not independently reconciled to a controlling current state grant record,,,False,False,False,excluded_context_only,"The source publishes no coordinate or footprint and does not independently establish current operation, production, reserves/resources, or controlling legal status.",Table 5,40,25,https://ibm.gov.in/writereaddata/files/17690756386971f3b675b8aFINAL_IMYB2024_as_on_21.01.2026.pdf,2026-09-10,5b3208e019f95f8976bdb1e7dd7e7dcebba41af78e149ba162a97c98cc070ded,"[""coordinates_not_published"",""geometry_not_published"",""current_status_not_independently_verified""]",Source wording is preserved. Auction date is the source column; it must not be reinterpreted as commencement of mining or present validity.
IBM-IMYB2024-AUCTION-002,official_auction_granted_concession_context,SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_CONCESSIONS,2,Andhra Pradesh,Andhra Pradesh,Addankivaripalem,Addankivaripalem,Iron Ore,"[""element:iron"",""ore:iron-ore""]","[""Iron"",""Iron ore""]","[""iron"",""Iron ore""]","[""Fe""]",2023-07-28,CL,composite_licence,,N.A.,False,granted_through_auction_during_2023_24_per_ibm_table_title,IBM Table 5 yearbook compilation; not independently reconciled to a controlling current state grant record,,,False,False,False,excluded_context_only,"The source publishes no coordinate or footprint and does not independently establish current operation, production, reserves/resources, or controlling legal status.",Table 5,40,25,https://ibm.gov.in/writereaddata/files/17690756386971f3b675b8aFINAL_IMYB2024_as_on_21.01.2026.pdf,2026-09-10,5b3208e019f95f8976bdb1e7dd7e7dcebba41af78e149ba162a97c98cc070ded,"[""coordinates_not_published"",""geometry_not_published"",""current_status_not_independently_verified"",""area_not_available_in_source""]",Source wording is preserved. Auction date is the source column; it must not be reinterpreted as commencement of mining or present validity.
IBM-IMYB2024-AUCTION-003,official_auction_granted_concession_context,SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_CONCESSIONS,3,Andhra Pradesh,Andhra Pradesh,Lakshmakapalle (North),Lakshmakapalle (North),Iron Ore,"[""element:iron"",""ore:iron-ore""]","[""Iron"",""Iron ore""]","[""iron"",""Iron ore""]","[""Fe""]",2023-07-28,CL,composite_licence,,N.A.,False,granted_through_auction_during_2023_24_per_ibm_table_title,IBM Table 5 yearbook compilation; not independently reconciled to a controlling current state grant record,,,False,False,False,excluded_context_only,"The source publishes no coordinate or footprint and does not independently establish current operation, production, reserves/resources, or controlling legal status.",Table 5,40,25,https://ibm.gov.in/writereaddata/files/17690756386971f3b675b8aFINAL_IMYB2024_as_on_21.01.2026.pdf,2026-09-10,5b3208e019f95f8976bdb1e7dd7e7dcebba41af78e149ba162a97c98cc070ded,"[""coordinates_not_published"",""geometry_not_published"",""current_status_not_independently_verified"",""area_not_available_in_source""]",Source wording is preserved. Auction date is the source column; it must not be reinterpreted as commencement of mining or present validity.
IBM-IMYB2024-AUCTION-004,official_auction_granted_concession_context,SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_CONCESSIONS,4,Andhra Pradesh,Andhra Pradesh,Lakshmakapalle (South),Lakshmakapalle (South),Iron Ore,"[""element:iron"",""ore:iron-ore""]","[""Iron"",""Iron ore""]","[""iron"",""Iron ore""]","[""Fe""]",2023-07-28,CL,composite_licence,,N.A.,False,granted_through_auction_during_2023_24_per_ibm_table_title,IBM Table 5 yearbook compilation; not independently reconciled to a controlling current state grant record,,,False,False,False,excluded_context_only,"The source publishes no coordinate or footprint and does not independently establish current operation, production, reserves/resources, or controlling legal status.",Table 5,40,25,https://ibm.gov.in/writereaddata/files/17690756386971f3b675b8aFINAL_IMYB2024_as_on_21.01.2026.pdf,2026-09-10,5b3208e019f95f8976bdb1e7dd7e7dcebba41af78e149ba162a97c98cc070ded,"[""coordinates_not_published"",""geometry_not_published"",""current_status_not_independently_verified"",""area_not_available_in_source""]",Source wording is preserved. Auction date is the source column; it must not be reinterpreted as commencement of mining or present validity.
IBM-IMYB2024-AUCTION-005,official_auction_granted_concession_context,SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_CONCESSIONS,5,Andhra Pradesh,Andhra Pradesh,Mincheri RF,Mincheri RF,Iron Ore,"[""element:iron"",""ore:iron-ore""]","[""Iron"",""Iron ore""]","[""iron"",""Iron ore""]","[""Fe""]",2024-03-11,CL,composite_licence,1327.0,1327,True,granted_through_auction_during_2023_24_per_ibm_table_title,IBM Table 5 yearbook compilation; not independently reconciled to a controlling current state grant record,,,False,False,False,excluded_context_only,"The source publishes no coordinate or footprint and does not independently establish current operation, production, reserves/resources, or controlling legal status.",Table 5,40,25,https://ibm.gov.in/writereaddata/files/17690756386971f3b675b8aFINAL_IMYB2024_as_on_21.01.2026.pdf,2026-09-10,5b3208e019f95f8976bdb1e7dd7e7dcebba41af78e149ba162a97c98cc070ded,"[""coordinates_not_published"",""geometry_not_published"",""current_status_not_independently_verified""]",Source wording is preserved. Auction date is the source column; it must not be reinterpreted as commencement of mining or present validity.
IBM-IMYB2024-AUCTION-006,official_auction_granted_concession_context,SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_CONCESSIONS,6,Chhattisgarh,Chhattisgarh,North of Arjunda,North of Arjunda,Glauconite (Potash),"[""group:glauconite-group"",""group:potash""]","[""Glauconite group"",""Potash""]","[""Glauconite group"",""potassium chloride"",""potassium sulfate""]",[],2023-07-04,CL,composite_licence,600.0,600,True,granted_through_auction_during_2023_24_per_ibm_table_title,IBM Table 5 yearbook compilation; not independently reconciled to a controlling current state grant record,,,False,False,False,excluded_context_only,"The source publishes no coordinate or footprint and does not independently establish current operation, production, reserves/resources, or controlling legal status.",Table 5,40,25,https://ibm.gov.in/writereaddata/files/17690756386971f3b675b8aFINAL_IMYB2024_as_on_21.01.2026.pdf,2026-09-10,5b3208e019f95f8976bdb1e7dd7e7dcebba41af78e149ba162a97c98cc070ded,"[""coordinates_not_published"",""geometry_not_published"",""current_status_not_independently_verified""]",Source wording is preserved. Auction date is the source column; it must not be reinterpreted as commencement of mining or present validity.
IBM-IMYB2024-AUCTION-007,official_auction_granted_concession_context,SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_CONCESSIONS,7,Chhattisgarh,Chhattisgarh,Saloni Block,Saloni Block,Limestone,"[""group:calcium-and-limestone"",""rock:limestone""]","[""Calcium and limestone"",""Limestone""]","[""calcium"",""calcium carbonate"",""Limestone""]",[],2023-09-21,CL,composite_licence,600.0,600,True,granted_through_auction_during_2023_24_per_ibm_table_title,IBM Table 5 yearbook compilation; not independently reconciled to a controlling current state grant record,,,False,False,False,excluded_context_only,"The source publishes no coordinate or footprint and does not independently establish current operation, production, reserves/resources, or controlling legal status.",Table 5,40,25,https://ibm.gov.in/writereaddata/files/17690756386971f3b675b8aFINAL_IMYB2024_as_on_21.01.2026.pdf,2026-09-10,5b3208e019f95f8976bdb1e7dd7e7dcebba41af78e149ba162a97c98cc070ded,"[""coordinates_not_published"",""geometry_not_published"",""current_status_not_independently_verified""]",Source wording is preserved. Auction date is the source column; it must not be reinterpreted as commencement of mining or present validity.
IBM-IMYB2024-AUCTION-008,official_auction_granted_concession_context,SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_CONCESSIONS,8,Chhattisgarh,Chhattisgarh,Devri Limestone Block,Devri Limestone Block,Limestone,"[""group:calcium-and-limestone"",""rock:limestone""]","[""Calcium and limestone"",""Limestone""]","[""calcium"",""calcium carbonate"",""Limestone""]",[],2023-09-19,CL,composite_licence,630.0,630,True,granted_through_auction_during_2023_24_per_ibm_table_title,IBM Table 5 yearbook compilation; not independently reconciled to a controlling current state grant record,,,False,False,False,excluded_context_only,"The source publishes no coordinate or footprint and does not independently establish current operation, production, reserves/resources, or controlling legal status.",Table 5,40,25,https://ibm.gov.in/writereaddata/files/17690756386971f3b675b8aFINAL_IMYB2024_as_on_21.01.2026.pdf,2026-09-10,5b3208e019f95f8976bdb1e7dd7e7dcebba41af78e149ba162a97c98cc070ded,"[""coordinates_not_published"",""geometry_not_published"",""current_status_not_independently_verified""]",Source wording is preserved. Auction date is the source column; it must not be reinterpreted as commencement of mining or present validity.
IBM-IMYB2024-AUCTION-009,official_auction_granted_concession_context,SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_CONCESSIONS,9,Chhattisgarh,Chhattisgarh,Kareli Chandi Block,Kareli Chandi Block,Limestone,"[""group:calcium-and-limestone"",""rock:limestone""]","[""Calcium and limestone"",""Limestone""]","[""calcium"",""calcium carbonate"",""Limestone""]",[],2023-09-20,CL,composite_licence,500.0,500,True,granted_through_auction_during_2023_24_per_ibm_table_title,IBM Table 5 yearbook compilation; not independently reconciled to a controlling current state grant record,,,False,False,False,excluded_context_only,"The source publishes no coordinate or footprint and does not independently establish current operation, production, reserves/resources, or controlling legal status.",Table 5,40,25,https://ibm.gov.in/writereaddata/files/17690756386971f3b675b8aFINAL_IMYB2024_as_on_21.01.2026.pdf,2026-09-10,5b3208e019f95f8976bdb1e7dd7e7dcebba41af78e149ba162a97c98cc070ded,"[""coordinates_not_published"",""geometry_not_published"",""current_status_not_independently_verified""]",Source wording is preserved. Auction date is the source column; it must not be reinterpreted as commencement of mining or present validity.
IBM-IMYB2024-AUCTION-010,official_auction_granted_concession_context,SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_CONCESSIONS,10,Chhattisgarh,Chhattisgarh,Giroud Uprani Block,Giroud Uprani Block,Glauconite,"[""group:glauconite-group""]","[""Glauconite group""]","[""Glauconite group""]",[],2023-09-27,CL,composite_licence,,N.A.,False,granted_through_auction_during_2023_24_per_ibm_table_title,IBM Table 5 yearbook compilation; not independently reconciled to a controlling current state grant record,,,False,False,False,excluded_context_only,"The source publishes no coordinate or footprint and does not independently establish current operation, production, reserves/resources, or controlling legal status.",Table 5,40,25,https://ibm.gov.in/writereaddata/files/17690756386971f3b675b8aFINAL_IMYB2024_as_on_21.01.2026.pdf,2026-09-10,5b3208e019f95f8976bdb1e7dd7e7dcebba41af78e149ba162a97c98cc070ded,"[""coordinates_not_published"",""geometry_not_published"",""current_status_not_independently_verified"",""area_not_available_in_source""]",Source wording is preserved. Auction date is the source column; it must not be reinterpreted as commencement of mining or present validity.
