record_id,parent_occurrence_record_id,source_id,release_version,source_region,source_material_term,normalized_material_ids_json,normalized_material_names_json,chemical_names_json,symbols_or_formulae_json,chemical_or_english_names_json,source_district_term,district_boundary_state_2011,district_boundary_name_2011,census_state_code_2011,census_district_code_2011,district_centroid_latitude_2011,district_centroid_longitude_2011,census_area_km2_2011_district,census_population_2011_district,census_male_2011_district,census_female_2011_district,census_sc_2011_district,census_st_2011_district,census_literate_2011_district,census_workers_2011_district,district_crosswalk_status,district_crosswalk_match_index,district_crosswalk_match_count,district_crosswalk_admitted_to_h3_context,source_pdf_pages_json,source_pdf_url,record_observation_type,model_evidence_role,data_quality_flags_json,limitations
IBM-IMYB2024-DIST-OCC-00001,IBM-IMYB2024-STATE-OCC-0001,SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_STATE_REVIEWS,v1.0-alpha.22,Andhra Pradesh,apatite,"[""group:apatite-group""]","[""Apatite group""]",[],[],"[""Apatite group""]",Visakhapatnam,Andhra Pradesh,Visakhapatnam,28,13,17.89591213,82.5682743,11161.0,4290589.0,2138910.0,2151679.0,329486.0,618500.0,2568249.0,1889879.0,exact_normalized_one_to_one,1,1,True,"[157,158]",https://www.ibm.gov.in/writereaddata/files/177426215469c1178a48453IMYB_2024_EBookFinal.pdf,official_compiled_district_mineral_occurrence_context,excluded_context_only,[],"District-level occurrence context is spatially broad. The representative district coordinate is an indexing point, not the occurrence location or a drill target. Only unambiguous one-to-one 2011 crosswalks enter the H3 context table."
IBM-IMYB2024-DIST-OCC-00002,IBM-IMYB2024-STATE-OCC-0002,SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_STATE_REVIEWS,v1.0-alpha.22,Andhra Pradesh,asbestos,"[""group:asbestos""]","[""Asbestos""]",[],[],"[""Asbestos""]",Cuddapah,Andhra Pradesh,Y.s.r.,28,20,14.47783943,78.66232499,15359.0,2882469.0,1451777.0,1430692.0,465794.0,75886.0,1716766.0,1320404.0,renamed_one_to_one,1,1,True,"[157,158]",https://www.ibm.gov.in/writereaddata/files/177426215469c1178a48453IMYB_2024_EBookFinal.pdf,official_compiled_district_mineral_occurrence_context,excluded_context_only,[],"District-level occurrence context is spatially broad. The representative district coordinate is an indexing point, not the occurrence location or a drill target. Only unambiguous one-to-one 2011 crosswalks enter the H3 context table."
IBM-IMYB2024-DIST-OCC-00003,IBM-IMYB2024-STATE-OCC-0003,SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_STATE_REVIEWS,v1.0-alpha.22,Andhra Pradesh,ball clay,"[""group:clay""]","[""Clay""]",[],[],"[""Clay""]",West Godavari,Andhra Pradesh,West Godavari,28,15,16.90246517,81.35101938,7742.0,3936966.0,1964918.0,1972048.0,811698.0,109072.0,2652389.0,1773112.0,exact_normalized_one_to_one,1,1,True,"[157,158]",https://www.ibm.gov.in/writereaddata/files/177426215469c1178a48453IMYB_2024_EBookFinal.pdf,official_compiled_district_mineral_occurrence_context,excluded_context_only,[],"District-level occurrence context is spatially broad. The representative district coordinate is an indexing point, not the occurrence location or a drill target. Only unambiguous one-to-one 2011 crosswalks enter the H3 context table."
IBM-IMYB2024-DIST-OCC-00004,IBM-IMYB2024-STATE-OCC-0004,SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_STATE_REVIEWS,v1.0-alpha.22,Andhra Pradesh,barytes,"[""mineral:baryte""]","[""Baryte""]","[""baryte""]","[""Ba(SO4)""]","[""baryte""]",Anantapur,Andhra Pradesh,Anantapur,28,22,14.45584996,77.4925042,19130.0,4081148.0,2064495.0,2016653.0,583135.0,154127.0,2310960.0,2036166.0,exact_normalized_one_to_one,1,1,True,"[157,158]",https://www.ibm.gov.in/writereaddata/files/177426215469c1178a48453IMYB_2024_EBookFinal.pdf,official_compiled_district_mineral_occurrence_context,excluded_context_only,[],"District-level occurrence context is spatially broad. The representative district coordinate is an indexing point, not the occurrence location or a drill target. Only unambiguous one-to-one 2011 crosswalks enter the H3 context table."
IBM-IMYB2024-DIST-OCC-00005,IBM-IMYB2024-STATE-OCC-0004,SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_STATE_REVIEWS,v1.0-alpha.22,Andhra Pradesh,barytes,"[""mineral:baryte""]","[""Baryte""]","[""baryte""]","[""Ba(SO4)""]","[""baryte""]",Cuddapah,Andhra Pradesh,Y.s.r.,28,20,14.47783943,78.66232499,15359.0,2882469.0,1451777.0,1430692.0,465794.0,75886.0,1716766.0,1320404.0,renamed_one_to_one,1,1,True,"[157,158]",https://www.ibm.gov.in/writereaddata/files/177426215469c1178a48453IMYB_2024_EBookFinal.pdf,official_compiled_district_mineral_occurrence_context,excluded_context_only,[],"District-level occurrence context is spatially broad. The representative district coordinate is an indexing point, not the occurrence location or a drill target. Only unambiguous one-to-one 2011 crosswalks enter the H3 context table."
IBM-IMYB2024-DIST-OCC-00006,IBM-IMYB2024-STATE-OCC-0004,SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_STATE_REVIEWS,v1.0-alpha.22,Andhra Pradesh,barytes,"[""mineral:baryte""]","[""Baryte""]","[""baryte""]","[""Ba(SO4)""]","[""baryte""]",Krishna,Andhra Pradesh,Krishna,28,16,16.42486638,81.06601079,8727.0,4517398.0,2267375.0,2250023.0,871063.0,132464.0,3009718.0,2048880.0,exact_normalized_one_to_one,1,1,True,"[157,158]",https://www.ibm.gov.in/writereaddata/files/177426215469c1178a48453IMYB_2024_EBookFinal.pdf,official_compiled_district_mineral_occurrence_context,excluded_context_only,[],"District-level occurrence context is spatially broad. The representative district coordinate is an indexing point, not the occurrence location or a drill target. Only unambiguous one-to-one 2011 crosswalks enter the H3 context table."
IBM-IMYB2024-DIST-OCC-00007,IBM-IMYB2024-STATE-OCC-0004,SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_STATE_REVIEWS,v1.0-alpha.22,Andhra Pradesh,barytes,"[""mineral:baryte""]","[""Baryte""]","[""baryte""]","[""Ba(SO4)""]","[""baryte""]",Kurnool,Andhra Pradesh,Kurnool,28,21,15.5244673,77.90566389,17658.0,4053463.0,2039227.0,2014236.0,737945.0,82831.0,2127161.0,2029425.0,exact_normalized_one_to_one,1,1,True,"[157,158]",https://www.ibm.gov.in/writereaddata/files/177426215469c1178a48453IMYB_2024_EBookFinal.pdf,official_compiled_district_mineral_occurrence_context,excluded_context_only,[],"District-level occurrence context is spatially broad. The representative district coordinate is an indexing point, not the occurrence location or a drill target. Only unambiguous one-to-one 2011 crosswalks enter the H3 context table."
IBM-IMYB2024-DIST-OCC-00008,IBM-IMYB2024-STATE-OCC-0004,SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_STATE_REVIEWS,v1.0-alpha.22,Andhra Pradesh,barytes,"[""mineral:baryte""]","[""Baryte""]","[""baryte""]","[""Ba(SO4)""]","[""baryte""]",Nellore,Andhra Pradesh,Sri Potti Sriramulu Nellore,28,19,14.29308592,79.78267372,13076.0,2963557.0,1492974.0,1470583.0,666588.0,285997.0,1832189.0,1314561.0,renamed_one_to_one,1,1,True,"[157,158]",https://www.ibm.gov.in/writereaddata/files/177426215469c1178a48453IMYB_2024_EBookFinal.pdf,official_compiled_district_mineral_occurrence_context,excluded_context_only,[],"District-level occurrence context is spatially broad. The representative district coordinate is an indexing point, not the occurrence location or a drill target. Only unambiguous one-to-one 2011 crosswalks enter the H3 context table."
IBM-IMYB2024-DIST-OCC-00009,IBM-IMYB2024-STATE-OCC-0004,SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_STATE_REVIEWS,v1.0-alpha.22,Andhra Pradesh,barytes,"[""mineral:baryte""]","[""Baryte""]","[""baryte""]","[""Ba(SO4)""]","[""baryte""]",Prakasam,Andhra Pradesh,Prakasam,28,18,15.63491328,79.51126072,17626.0,3397448.0,1714764.0,1682684.0,787861.0,151145.0,1904435.0,1700567.0,exact_normalized_one_to_one,1,1,True,"[157,158]",https://www.ibm.gov.in/writereaddata/files/177426215469c1178a48453IMYB_2024_EBookFinal.pdf,official_compiled_district_mineral_occurrence_context,excluded_context_only,[],"District-level occurrence context is spatially broad. The representative district coordinate is an indexing point, not the occurrence location or a drill target. Only unambiguous one-to-one 2011 crosswalks enter the H3 context table."
IBM-IMYB2024-DIST-OCC-00010,IBM-IMYB2024-STATE-OCC-0005,SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_STATE_REVIEWS,v1.0-alpha.22,Andhra Pradesh,calcite,"[""group:calcium-and-limestone"",""mineral:calcite""]","[""Calcium and limestone"",""Calcite""]","[""calcium"",""calcium carbonate"",""calcite""]","[""Ca(CO3)""]","[""calcium"",""calcium carbonate"",""calcite""]",Anantapur,Andhra Pradesh,Anantapur,28,22,14.45584996,77.4925042,19130.0,4081148.0,2064495.0,2016653.0,583135.0,154127.0,2310960.0,2036166.0,exact_normalized_one_to_one,1,1,True,"[157,158]",https://www.ibm.gov.in/writereaddata/files/177426215469c1178a48453IMYB_2024_EBookFinal.pdf,official_compiled_district_mineral_occurrence_context,excluded_context_only,[],"District-level occurrence context is spatially broad. The representative district coordinate is an indexing point, not the occurrence location or a drill target. Only unambiguous one-to-one 2011 crosswalks enter the H3 context table."
