record_id,record_type,source_id,dimension,category_source,category_normalized,as_of_date,provisional,lease_count,lease_count_source,lease_area_ha,lease_area_ha_source,lease_count_share_pct,lease_area_share_pct,is_total,normalized_material_ids_json,normalized_material_names_json,chemical_or_english_names_json,formulae_or_symbols_json,source_table,source_pdf_page,source_printed_page,source_url,source_access_date,source_document_sha256,scope_exclusions_json,coordinates_published,geometry_published,model_evidence_role,quality_flags_json,notes
IBM-IMYB2024-LEASE-AGG-001,official_mining_lease_aggregate,SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_CONCESSIONS,state_or_ut,India,India,2022-03-31,False,3095,3095,278008.94,278008.94,,,True,[],[],[],[],Table 1,38,23,https://ibm.gov.in/writereaddata/files/17690756386971f3b675b8aFINAL_IMYB2024_as_on_21.01.2026.pdf,2026-09-10,5b3208e019f95f8976bdb1e7dd7e7dcebba41af78e149ba162a97c98cc070ded,"[""atomic_minerals"",""coal"",""lignite"",""petroleum"",""natural_gas"",""minor_minerals""]",False,False,excluded_context_only,"[""non_spatial_aggregate""]","Preserves the source table value and scope; it is not a site, reserve/resource estimate, production record, or proof of current operation."
IBM-IMYB2024-LEASE-AGG-002,official_mining_lease_aggregate,SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_CONCESSIONS,state_or_ut,India,India,2023-03-31,False,3007,3007,282356.54,282356.54,,,True,[],[],[],[],Table 1,38,23,https://ibm.gov.in/writereaddata/files/17690756386971f3b675b8aFINAL_IMYB2024_as_on_21.01.2026.pdf,2026-09-10,5b3208e019f95f8976bdb1e7dd7e7dcebba41af78e149ba162a97c98cc070ded,"[""atomic_minerals"",""coal"",""lignite"",""petroleum"",""natural_gas"",""minor_minerals""]",False,False,excluded_context_only,"[""non_spatial_aggregate""]","Preserves the source table value and scope; it is not a site, reserve/resource estimate, production record, or proof of current operation."
IBM-IMYB2024-LEASE-AGG-003,official_mining_lease_aggregate,SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_CONCESSIONS,state_or_ut,India,India,2024-03-31,True,2995,2995,293811.5373,293811.5373,,,True,[],[],[],[],Table 1,38,23,https://ibm.gov.in/writereaddata/files/17690756386971f3b675b8aFINAL_IMYB2024_as_on_21.01.2026.pdf,2026-09-10,5b3208e019f95f8976bdb1e7dd7e7dcebba41af78e149ba162a97c98cc070ded,"[""atomic_minerals"",""coal"",""lignite"",""petroleum"",""natural_gas"",""minor_minerals""]",False,False,excluded_context_only,"[""non_spatial_aggregate"",""provisional_2024_status""]","Preserves the source table value and scope; it is not a site, reserve/resource estimate, production record, or proof of current operation."
IBM-IMYB2024-LEASE-AGG-004,official_mining_lease_aggregate,SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_CONCESSIONS,state_or_ut,Andhra Pradesh,Andhra Pradesh,2022-03-31,False,379,379,25450.49,25450.49,,,False,[],[],[],[],Table 1,38,23,https://ibm.gov.in/writereaddata/files/17690756386971f3b675b8aFINAL_IMYB2024_as_on_21.01.2026.pdf,2026-09-10,5b3208e019f95f8976bdb1e7dd7e7dcebba41af78e149ba162a97c98cc070ded,"[""atomic_minerals"",""coal"",""lignite"",""petroleum"",""natural_gas"",""minor_minerals""]",False,False,excluded_context_only,"[""non_spatial_aggregate""]","Preserves the source table value and scope; it is not a site, reserve/resource estimate, production record, or proof of current operation."
IBM-IMYB2024-LEASE-AGG-005,official_mining_lease_aggregate,SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_CONCESSIONS,state_or_ut,Andhra Pradesh,Andhra Pradesh,2023-03-31,False,376,376,25411.77,25411.77,,,False,[],[],[],[],Table 1,38,23,https://ibm.gov.in/writereaddata/files/17690756386971f3b675b8aFINAL_IMYB2024_as_on_21.01.2026.pdf,2026-09-10,5b3208e019f95f8976bdb1e7dd7e7dcebba41af78e149ba162a97c98cc070ded,"[""atomic_minerals"",""coal"",""lignite"",""petroleum"",""natural_gas"",""minor_minerals""]",False,False,excluded_context_only,"[""non_spatial_aggregate""]","Preserves the source table value and scope; it is not a site, reserve/resource estimate, production record, or proof of current operation."
IBM-IMYB2024-LEASE-AGG-006,official_mining_lease_aggregate,SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_CONCESSIONS,state_or_ut,Andhra Pradesh,Andhra Pradesh,2024-03-31,True,377,377,25650.8434,25650.8434,,,False,[],[],[],[],Table 1,38,23,https://ibm.gov.in/writereaddata/files/17690756386971f3b675b8aFINAL_IMYB2024_as_on_21.01.2026.pdf,2026-09-10,5b3208e019f95f8976bdb1e7dd7e7dcebba41af78e149ba162a97c98cc070ded,"[""atomic_minerals"",""coal"",""lignite"",""petroleum"",""natural_gas"",""minor_minerals""]",False,False,excluded_context_only,"[""non_spatial_aggregate"",""provisional_2024_status""]","Preserves the source table value and scope; it is not a site, reserve/resource estimate, production record, or proof of current operation."
IBM-IMYB2024-LEASE-AGG-007,official_mining_lease_aggregate,SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_CONCESSIONS,state_or_ut,Assam,Assam,2022-03-31,False,7,7,889.5,889.5,,,False,[],[],[],[],Table 1,38,23,https://ibm.gov.in/writereaddata/files/17690756386971f3b675b8aFINAL_IMYB2024_as_on_21.01.2026.pdf,2026-09-10,5b3208e019f95f8976bdb1e7dd7e7dcebba41af78e149ba162a97c98cc070ded,"[""atomic_minerals"",""coal"",""lignite"",""petroleum"",""natural_gas"",""minor_minerals""]",False,False,excluded_context_only,"[""non_spatial_aggregate""]","Preserves the source table value and scope; it is not a site, reserve/resource estimate, production record, or proof of current operation."
IBM-IMYB2024-LEASE-AGG-008,official_mining_lease_aggregate,SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_CONCESSIONS,state_or_ut,Assam,Assam,2023-03-31,False,7,7,889.5,889.5,,,False,[],[],[],[],Table 1,38,23,https://ibm.gov.in/writereaddata/files/17690756386971f3b675b8aFINAL_IMYB2024_as_on_21.01.2026.pdf,2026-09-10,5b3208e019f95f8976bdb1e7dd7e7dcebba41af78e149ba162a97c98cc070ded,"[""atomic_minerals"",""coal"",""lignite"",""petroleum"",""natural_gas"",""minor_minerals""]",False,False,excluded_context_only,"[""non_spatial_aggregate""]","Preserves the source table value and scope; it is not a site, reserve/resource estimate, production record, or proof of current operation."
IBM-IMYB2024-LEASE-AGG-009,official_mining_lease_aggregate,SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_CONCESSIONS,state_or_ut,Assam,Assam,2024-03-31,True,6,6,858.5,858.5,,,False,[],[],[],[],Table 1,38,23,https://ibm.gov.in/writereaddata/files/17690756386971f3b675b8aFINAL_IMYB2024_as_on_21.01.2026.pdf,2026-09-10,5b3208e019f95f8976bdb1e7dd7e7dcebba41af78e149ba162a97c98cc070ded,"[""atomic_minerals"",""coal"",""lignite"",""petroleum"",""natural_gas"",""minor_minerals""]",False,False,excluded_context_only,"[""non_spatial_aggregate"",""provisional_2024_status""]","Preserves the source table value and scope; it is not a site, reserve/resource estimate, production record, or proof of current operation."
IBM-IMYB2024-LEASE-AGG-010,official_mining_lease_aggregate,SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_CONCESSIONS,state_or_ut,Bihar,Bihar,2022-03-31,False,1,1,53.38,53.38,,,False,[],[],[],[],Table 1,38,23,https://ibm.gov.in/writereaddata/files/17690756386971f3b675b8aFINAL_IMYB2024_as_on_21.01.2026.pdf,2026-09-10,5b3208e019f95f8976bdb1e7dd7e7dcebba41af78e149ba162a97c98cc070ded,"[""atomic_minerals"",""coal"",""lignite"",""petroleum"",""natural_gas"",""minor_minerals""]",False,False,excluded_context_only,"[""non_spatial_aggregate""]","Preserves the source table value and scope; it is not a site, reserve/resource estimate, production record, or proof of current operation."
