record_id,record_class,block_lineage_key,auction_event_kind,auction_tranche,auction_status_at_source_date,block_name,state_or_ut,district,concession_type,block_area_ha,latitude,longitude,coordinates_available_in_source,block_boundary_wkt,geometry_vertex_count,geometry_area_geodesic_ha,geometry_area_difference_pct,geometry_type,geometry_extraction_method,geometry_quality_flag,centroid_within_stated_state_2011,spatial_validation_note,source_materials_json,normalized_top50_materials_json,unmapped_english_material_names_json,chemical_names_json,symbols_or_formulae_json,auction_nit_date,auction_start_timestamp_ist,auction_close_timestamp_ist,auction_number,preferred_bidder,mstc_registration_number,highest_final_price_offer_pct,source_date,source_url,geometry_source_url,mbs_source_url,source_pdf_filename,source_pdf_sha256,source_pdf_bytes,source_pdf_page_count,auction_notice_source_url,auction_notice_pdf_filename,auction_notice_pdf_sha256,auction_notice_pdf_bytes,auction_notice_pdf_page_count,concession_type_extraction_method,extraction_notes,source_accessed_date,integration_status
CMB-EVENT-T1-O01,official_critical_mineral_auction_event,akharkata,auction_offer,1,notified for auction,Akharkata Graphite Block,Odisha,Angul,CL,752.77,20.851661977267856,84.58720948602473,True,"POLYGON ((84.56779999999999 20.8578, 84.6039 20.863000000000003, 84.60709999999999 20.845399999999998, 84.5696 20.8406, 84.56779999999999 20.8578))",4.0,752.2047539203227,0.07508881593013914,Polygon,pypdf_text,accepted,True,,"[""Graphite""]","[""Graphite""]",[],"[""carbon""]","[""C""]",2023-11-29,,,,,,,2023-11-29,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12705_MBS_Akharkata%20Graphite%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12705_MBS_Akharkata%20Graphite%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,T1_12705_MBS_Akharkata_Graphite_Block.pdf,876606cab08d5b2d573083d88499e09aaa3adc956a959c655a842361d625d5f0,922693.0,6.0,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,T1_NIT.pdf,74866dde67d66d19937535c2ebb66e9f4ae2322ad6f77717fa63f41749cca75e,14867940.0,100.0,mbs_text_reconciled_to_official_nit,,2026-09-10,geometry_available_for_overlay_not_used_in_prospectivity_training_or_scoring
CMB-EVENT-T1-O02,official_critical_mineral_auction_event,babja,auction_offer,1,notified for auction,Babja Graphite and Manganese Block,Odisha,Balangir,ML,19.5,20.823115220735374,83.32584941045555,True,"POLYGON ((83.32246916666666 20.825929444444444, 83.33019444444444 20.82199333333333, 83.32921305555556 20.820299166666665, 83.32149666666666 20.82425138888889, 83.32246916666666 20.825929444444444))",4.0,19.44356722213924,0.28939886082440947,Polygon,pypdf_text_from_official_nit_fallback,accepted,True,,"[""Graphite"",""Iron"",""Manganese""]","[""Graphite"",""Iron"",""Manganese""]",[],"[""carbon"",""iron"",""manganese""]","[""C"",""Fe"",""Mn""]",2023-11-29,,,,,,,2023-11-29,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12704_MBS_Babja%20Graphite%20and%20Manganese%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,T1_12704_MBS_Babja_Graphite_and_Manganese_Block.pdf,c465c447c6728d488565f8845ad99c875230ffec37de63a4550396203e1ed473,353146.0,4.0,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,T1_NIT.pdf,74866dde67d66d19937535c2ebb66e9f4ae2322ad6f77717fa63f41749cca75e,14867940.0,100.0,official_nit_table,,2026-09-10,geometry_available_for_overlay_not_used_in_prospectivity_training_or_scoring
CMB-EVENT-T1-O03,official_critical_mineral_auction_event,biarpalli,auction_offer,1,notified for auction,Biarpalli Graphite and Manganese Block,Odisha,Balangir,ML,131.82,20.801337692079073,89.33850367912041,True,"POLYGON ((89.32984766666667 20.799694194444445, 89.34249286111111 20.80870738888889, 89.34713325 20.802955833333336, 89.33454902777777 20.793984694444447, 89.32984766666667 20.799694194444445))",4.0,131.73310246257782,0.06592136050840143,Polygon,pypdf_text_from_official_nit_fallback,source_location_mismatch,False,Official-source centroid falls outside the stated Odisha boundary in the 2011 Census layer; source coordinates are retained and flagged.,"[""Graphite"",""Iron"",""Manganese""]","[""Graphite"",""Iron"",""Manganese""]",[],"[""carbon"",""iron"",""manganese""]","[""C"",""Fe"",""Mn""]",2023-11-29,,,,,,,2023-11-29,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12703_MBS_Biarpalli%20Graphite%20and%20Manganese%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,T1_12703_MBS_Biarpalli_Graphite_and_Manganese_Block.pdf,ce0d9e5daecf23db7c85001d019ad783f59ddcce29c016dcc4436e55383ddb53,670116.0,3.0,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,T1_NIT.pdf,74866dde67d66d19937535c2ebb66e9f4ae2322ad6f77717fa63f41749cca75e,14867940.0,100.0,official_nit_table,,2026-09-10,geometry_available_for_overlay_not_used_in_prospectivity_training_or_scoring
CMB-EVENT-T1-O04,official_critical_mineral_auction_event,chutia-nauhatta,auction_offer,1,notified for auction,Chutia-Nauhatta Glauconite Block,Bihar,Rohtas,CL,463.995,24.55641604770508,83.76975561189417,True,"POLYGON ((83.75191111111111 24.54560277777778, 83.79038444444444 24.55727138888889, 83.78673194444444 24.56734527777778, 83.74914722222222 24.555244444444444, 83.75191111111111 24.54560277777778))",4.0,463.4651059556484,0.1142025332927249,Polygon,pypdf_text,accepted,True,,"[""Glauconite""]",[],"[""Glauconite""]",[],[],2023-11-29,,,,,,,2023-11-29,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12702_MBS_Chutia-Nauhatta%20Glauconite%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12702_MBS_Chutia-Nauhatta%20Glauconite%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,T1_12702_MBS_Chutia-Nauhatta_Glauconite_Block.pdf,a0ebd4d8bae66afbf0ee9e3723d76600c2817c8a916ad6c9797aa6b5f9984fec,917365.0,5.0,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,T1_NIT.pdf,74866dde67d66d19937535c2ebb66e9f4ae2322ad6f77717fa63f41749cca75e,14867940.0,100.0,mbs_text_reconciled_to_official_nit,,2026-09-10,geometry_available_for_overlay_not_used_in_prospectivity_training_or_scoring
CMB-EVENT-T1-O05,official_critical_mineral_auction_event,dudhiasol-east,auction_offer,1,notified for auction,Dudhiasol East Nickel and Copper Block,Odisha,Mayurbhanj,ML,104.3,22.11638895178856,86.67958370379382,True,"POLYGON ((86.67444491666667 22.11194444166667, 86.6847228888889 22.111944975, 86.6847222388889 22.12083341111111, 86.67444487777779 22.120833155555555, 86.67444491666667 22.11194444166667))",4.0,104.37222732253367,0.06924959015692983,Polygon,pypdf_text,accepted,True,,"[""Copper"",""Nickel""]","[""Copper"",""Nickel""]",[],"[""copper"",""nickel""]","[""Cu"",""Ni""]",2023-11-29,,,,,,,2023-11-29,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12701_MBS_Dudhiasol%20East%20Nickel%20and%20Copper%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12701_MBS_Dudhiasol%20East%20Nickel%20and%20Copper%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,T1_12701_MBS_Dudhiasol_East_Nickel_and_Copper_Block.pdf,43ee991d15c9efa432d29dbc72bb95a9ee1363749038a305159fd371081fe1f4,496415.0,4.0,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,T1_NIT.pdf,74866dde67d66d19937535c2ebb66e9f4ae2322ad6f77717fa63f41749cca75e,14867940.0,100.0,official_nit_table,,2026-09-10,geometry_available_for_overlay_not_used_in_prospectivity_training_or_scoring
CMB-EVENT-T1-O06,official_critical_mineral_auction_event,genjana,auction_offer,1,notified for auction,"Genjana Nickel, Chromium and PGE Block",Bihar,Gaya,CL,788.85,24.507600109649122,84.59864934210525,True,"POLYGON ((84.5756 24.5153, 84.6218 24.5151, 84.6218 24.5, 84.5756 24.5, 84.5756 24.5153))",4.0,788.3310822259903,0.06578155213408947,Polygon,pypdf_text,accepted,True,,"[""Platinum-group elements"",""Chromium"",""Nickel""]","[""Platinum-group elements"",""Chromium"",""Nickel""]",[],"[""chromium"",""iridium"",""nickel"",""osmium"",""palladium"",""platinum"",""rhodium"",""ruthenium""]","[""Cr"",""Ir"",""Ni"",""Os"",""Pd"",""Pt"",""Rh"",""Ru""]",2023-11-29,,,,,,,2023-11-29,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12700_MBS_Genjana%20Nickel%20Chromium%20and%20PGE%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12700_MBS_Genjana%20Nickel%20Chromium%20and%20PGE%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,T1_12700_MBS_Genjana_Nickel_Chromium_and_PGE_Block.pdf,7f96161ed63e1fe2ae330ef3ca1e293501bd0214952d9d359016c1fa7b4b5f61,922404.0,6.0,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,T1_NIT.pdf,74866dde67d66d19937535c2ebb66e9f4ae2322ad6f77717fa63f41749cca75e,14867940.0,100.0,mbs_text_reconciled_to_official_nit,,2026-09-10,geometry_available_for_overlay_not_used_in_prospectivity_training_or_scoring
CMB-EVENT-T1-O07,official_critical_mineral_auction_event,iluppakudi,auction_offer,1,notified for auction,Iluppakudi Graphite Block,Tamil Nadu,Sivaganga,CL,633.36,9.89995,78.35969999999999,True,"POLYGON ((78.3444 9.8916, 78.375 9.8916, 78.375 9.9083, 78.3444 9.9083, 78.3444 9.8916))",4.0,619.897110109806,2.12562995613774,Polygon,pypdf_text,accepted,True,,"[""Graphite""]","[""Graphite""]",[],"[""carbon""]","[""C""]",2023-11-29,,,,,,,2023-11-29,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12699_MBS_Iluppakudi%20Graphite%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12699_MBS_Iluppakudi%20Graphite%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,T1_12699_MBS_Iluppakudi_Graphite_Block.pdf,273af92c267a2c0e62a7531287f86b845d973011d3d175ccb15f97e44e6cb763,866999.0,5.0,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,T1_NIT.pdf,74866dde67d66d19937535c2ebb66e9f4ae2322ad6f77717fa63f41749cca75e,14867940.0,100.0,mbs_text_reconciled_to_official_nit,,2026-09-10,geometry_available_for_overlay_not_used_in_prospectivity_training_or_scoring
CMB-EVENT-T1-O08,official_critical_mineral_auction_event,katghora,auction_offer,1,notified for auction,Katghora Lithium and REE Block,Chhattisgarh,Korba,CL,256.12,22.519166666666663,82.57763888888888,True,"POLYGON ((82.57111111111111 22.52777777777778, 82.58416666666666 22.52777777777778, 82.58416666666666 22.510555555555555, 82.57111111111111 22.510555555555555, 82.57111111111111 22.52777777777778))",4.0,256.16413980736735,0.01723403379952523,Polygon,pypdf_text,accepted,True,,"[""Rare-earth elements"",""Lithium""]","[""Rare-earth elements"",""Lithium""]",[],"[""cerium"",""dysprosium"",""erbium"",""europium"",""gadolinium"",""holmium"",""lanthanum"",""lithium"",""lutetium"",""neodymium"",""praseodymium"",""promethium"",""samarium"",""scandium"",""terbium"",""thulium"",""ytterbium"",""yttrium""]","[""Ce"",""Dy"",""Er"",""Eu"",""Gd"",""Ho"",""La"",""Li"",""Lu"",""Nd"",""Pm"",""Pr"",""Sc"",""Sm"",""Tb"",""Tm"",""Y"",""Yb""]",2023-11-29,,,,,,,2023-11-29,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12688_MBS_Katghora%20Lithium%20and%20REE%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12688_MBS_Katghora%20Lithium%20and%20REE%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,T1_12688_MBS_Katghora_Lithium_and_REE_Block.pdf,75fa4e056863fb0b4bdb9f52165532298886dd845bad424dc85905c0454e076a,865916.0,5.0,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,T1_NIT.pdf,74866dde67d66d19937535c2ebb66e9f4ae2322ad6f77717fa63f41749cca75e,14867940.0,100.0,mbs_text_reconciled_to_official_nit,,2026-09-10,geometry_available_for_overlay_not_used_in_prospectivity_training_or_scoring
CMB-EVENT-T1-O09,official_critical_mineral_auction_event,kundol,auction_offer,1,notified for auction,Kundol Nickel and Chromium Block,Gujarat,Aravalli,CL,547.8,23.86270674238263,73.33978454614717,True,"POLYGON ((73.32111111111111 23.85666666666667, 73.33166666666666 23.870833333333334, 73.3586111111111 23.871111111111112, 73.35833333333333 23.861944444444447, 73.34277777777777 23.85611111111111, 73.32805555555555 23.852500000000003, 73.32138888888889 23.852500000000003, 73.32111111111111 23.85666666666667))",7.0,545.8953482757703,0.34769107780753306,Polygon,pypdf_text,accepted,True,,"[""Chromium"",""Nickel""]","[""Chromium"",""Nickel""]",[],"[""chromium"",""nickel""]","[""Cr"",""Ni""]",2023-11-29,,,,,,,2023-11-29,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12687_MBS_Kundol%20Nickel%20and%20Chromium%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12687_MBS_Kundol%20Nickel%20and%20Chromium%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,T1_12687_MBS_Kundol_Nickel_and_Chromium_Block.pdf,63de4215ac2bc1c9bc45a44df85c82fcf992f76ef04733cf92c4ba76053a8a51,913082.0,6.0,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,T1_NIT.pdf,74866dde67d66d19937535c2ebb66e9f4ae2322ad6f77717fa63f41749cca75e,14867940.0,100.0,mbs_text_reconciled_to_official_nit,,2026-09-10,geometry_available_for_overlay_not_used_in_prospectivity_training_or_scoring
CMB-EVENT-T1-O10,official_critical_mineral_auction_event,kurchha,auction_offer,1,notified for auction,Kurchha Glauconite Block,Uttar Pradesh,Sonbhadra,CL,17.3,24.5932418579723,82.87589297757629,True,"POLYGON ((82.87391666666666 24.595469444444443, 82.87735555555555 24.595391666666664, 82.87803055555555 24.591313888888887, 82.87438333333333 24.59090833333333, 82.87391666666666 24.595469444444443))",4.0,17.273710959735514,0.15195977031495425,Polygon,pypdf_text,accepted,True,,"[""Glauconite""]",[],"[""Glauconite""]",[],[],2023-11-29,,,,,,,2023-11-29,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12686_MBS_Kurchha%20Glauconite%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12686_MBS_Kurchha%20Glauconite%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,T1_12686_MBS_Kurchha_Glauconite_Block.pdf,d8bb70d5dfe74e3961c11bb7d2a54ad284dde2c317f4c9d1eb6da9682b387a8a,682125.0,5.0,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,T1_NIT.pdf,74866dde67d66d19937535c2ebb66e9f4ae2322ad6f77717fa63f41749cca75e,14867940.0,100.0,mbs_text_reconciled_to_official_nit,,2026-09-10,geometry_available_for_overlay_not_used_in_prospectivity_training_or_scoring
