event_id,auction_tranche,portal_link_order,block_name,state_or_ut,district,concession_type,block_area_ha,source_materials_json,coordinates_available_in_source,geometry_type,geometry_vertex_count,geometry_area_geodesic_ha,geometry_area_difference_pct,geometry_extraction_method,geometry_quality_flag,centroid_within_stated_state_2011,spatial_validation_note,concession_type_extraction_method,source_pdf_filename,source_pdf_sha256,source_pdf_bytes,source_pdf_page_count,auction_notice_pdf_filename,auction_notice_pdf_sha256,auction_notice_pdf_bytes,auction_notice_pdf_page_count,portal_link_title,source_url,mbs_source_url,geometry_source_url,extraction_notes
T1-O01,1,1,Akharkata Graphite Block,Odisha,Angul,CL,752.77,"[""Graphite""]",True,Polygon,4,752.2047539203227,0.07508881593013914,pypdf_text,accepted,True,,mbs_text_reconciled_to_official_nit,T1_12705_MBS_Akharkata_Graphite_Block.pdf,876606cab08d5b2d573083d88499e09aaa3adc956a959c655a842361d625d5f0,922693,6,T1_NIT.pdf,74866dde67d66d19937535c2ebb66e9f4ae2322ad6f77717fa63f41749cca75e,14867940,100,MBS_Akharkata Graphite Block,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12705_MBS_Akharkata%20Graphite%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12705_MBS_Akharkata%20Graphite%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,
T1-O02,1,2,Babja Graphite and Manganese Block,Odisha,Balangir,ML,19.5,"[""Graphite"",""Iron"",""Manganese""]",True,Polygon,4,19.44356722213924,0.28939886082440947,pypdf_text_from_official_nit_fallback,accepted,True,,official_nit_table,T1_12704_MBS_Babja_Graphite_and_Manganese_Block.pdf,c465c447c6728d488565f8845ad99c875230ffec37de63a4550396203e1ed473,353146,4,T1_NIT.pdf,74866dde67d66d19937535c2ebb66e9f4ae2322ad6f77717fa63f41749cca75e,14867940,100,MBS_Babja Graphite and Manganese Block,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12704_MBS_Babja%20Graphite%20and%20Manganese%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,
T1-O03,1,3,Biarpalli Graphite and Manganese Block,Odisha,Balangir,ML,131.82,"[""Graphite"",""Iron"",""Manganese""]",True,Polygon,4,131.73310246257782,0.06592136050840143,pypdf_text_from_official_nit_fallback,source_location_mismatch,False,Official-source centroid falls outside the stated Odisha boundary in the 2011 Census layer; source coordinates are retained and flagged.,official_nit_table,T1_12703_MBS_Biarpalli_Graphite_and_Manganese_Block.pdf,ce0d9e5daecf23db7c85001d019ad783f59ddcce29c016dcc4436e55383ddb53,670116,3,T1_NIT.pdf,74866dde67d66d19937535c2ebb66e9f4ae2322ad6f77717fa63f41749cca75e,14867940,100,MBS_Biarpalli Graphite and Manganese Block,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12703_MBS_Biarpalli%20Graphite%20and%20Manganese%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,
T1-O04,1,4,Chutia-Nauhatta Glauconite Block,Bihar,Rohtas,CL,463.995,"[""Glauconite""]",True,Polygon,4,463.4651059556484,0.1142025332927249,pypdf_text,accepted,True,,mbs_text_reconciled_to_official_nit,T1_12702_MBS_Chutia-Nauhatta_Glauconite_Block.pdf,a0ebd4d8bae66afbf0ee9e3723d76600c2817c8a916ad6c9797aa6b5f9984fec,917365,5,T1_NIT.pdf,74866dde67d66d19937535c2ebb66e9f4ae2322ad6f77717fa63f41749cca75e,14867940,100,MBS_Chutia-Nauhatta Glauconite Block,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12702_MBS_Chutia-Nauhatta%20Glauconite%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12702_MBS_Chutia-Nauhatta%20Glauconite%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,
T1-O05,1,5,Dudhiasol East Nickel and Copper Block,Odisha,Mayurbhanj,ML,104.3,"[""Copper"",""Nickel""]",True,Polygon,4,104.37222732253367,0.06924959015692983,pypdf_text,accepted,True,,official_nit_table,T1_12701_MBS_Dudhiasol_East_Nickel_and_Copper_Block.pdf,43ee991d15c9efa432d29dbc72bb95a9ee1363749038a305159fd371081fe1f4,496415,4,T1_NIT.pdf,74866dde67d66d19937535c2ebb66e9f4ae2322ad6f77717fa63f41749cca75e,14867940,100,MBS_Dudhiasol East Nickel and Copper Block,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12701_MBS_Dudhiasol%20East%20Nickel%20and%20Copper%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12701_MBS_Dudhiasol%20East%20Nickel%20and%20Copper%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,
T1-O06,1,6,"Genjana Nickel, Chromium and PGE Block",Bihar,Gaya,CL,788.85,"[""Platinum-group elements"",""Chromium"",""Nickel""]",True,Polygon,4,788.3310822259903,0.06578155213408947,pypdf_text,accepted,True,,mbs_text_reconciled_to_official_nit,T1_12700_MBS_Genjana_Nickel_Chromium_and_PGE_Block.pdf,7f96161ed63e1fe2ae330ef3ca1e293501bd0214952d9d359016c1fa7b4b5f61,922404,6,T1_NIT.pdf,74866dde67d66d19937535c2ebb66e9f4ae2322ad6f77717fa63f41749cca75e,14867940,100,MBS_Genjana Nickel Chromium and PGE Block,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12700_MBS_Genjana%20Nickel%20Chromium%20and%20PGE%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12700_MBS_Genjana%20Nickel%20Chromium%20and%20PGE%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,
T1-O07,1,7,Iluppakudi Graphite Block,Tamil Nadu,Sivaganga,CL,633.36,"[""Graphite""]",True,Polygon,4,619.897110109806,2.12562995613774,pypdf_text,accepted,True,,mbs_text_reconciled_to_official_nit,T1_12699_MBS_Iluppakudi_Graphite_Block.pdf,273af92c267a2c0e62a7531287f86b845d973011d3d175ccb15f97e44e6cb763,866999,5,T1_NIT.pdf,74866dde67d66d19937535c2ebb66e9f4ae2322ad6f77717fa63f41749cca75e,14867940,100,MBS_Iluppakudi Graphite Block,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12699_MBS_Iluppakudi%20Graphite%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12699_MBS_Iluppakudi%20Graphite%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,
T1-O08,1,8,Katghora Lithium and REE Block,Chhattisgarh,Korba,CL,256.12,"[""Rare-earth elements"",""Lithium""]",True,Polygon,4,256.16413980736735,0.01723403379952523,pypdf_text,accepted,True,,mbs_text_reconciled_to_official_nit,T1_12688_MBS_Katghora_Lithium_and_REE_Block.pdf,75fa4e056863fb0b4bdb9f52165532298886dd845bad424dc85905c0454e076a,865916,5,T1_NIT.pdf,74866dde67d66d19937535c2ebb66e9f4ae2322ad6f77717fa63f41749cca75e,14867940,100,MBS_Katghora Lithium and REE Block,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12688_MBS_Katghora%20Lithium%20and%20REE%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12688_MBS_Katghora%20Lithium%20and%20REE%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,
T1-O09,1,9,Kundol Nickel and Chromium Block,Gujarat,Aravalli,CL,547.8,"[""Chromium"",""Nickel""]",True,Polygon,7,545.8953482757703,0.34769107780753306,pypdf_text,accepted,True,,mbs_text_reconciled_to_official_nit,T1_12687_MBS_Kundol_Nickel_and_Chromium_Block.pdf,63de4215ac2bc1c9bc45a44df85c82fcf992f76ef04733cf92c4ba76053a8a51,913082,6,T1_NIT.pdf,74866dde67d66d19937535c2ebb66e9f4ae2322ad6f77717fa63f41749cca75e,14867940,100,MBS_Kundol Nickel and Chromium Block,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12687_MBS_Kundol%20Nickel%20and%20Chromium%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12687_MBS_Kundol%20Nickel%20and%20Chromium%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,
T1-O10,1,10,Kurchha Glauconite Block,Uttar Pradesh,Sonbhadra,CL,17.3,"[""Glauconite""]",True,Polygon,4,17.273710959735514,0.15195977031495425,pypdf_text,accepted,True,,mbs_text_reconciled_to_official_nit,T1_12686_MBS_Kurchha_Glauconite_Block.pdf,d8bb70d5dfe74e3961c11bb7d2a54ad284dde2c317f4c9d1eb6da9682b387a8a,682125,5,T1_NIT.pdf,74866dde67d66d19937535c2ebb66e9f4ae2322ad6f77717fa63f41749cca75e,14867940,100,MBS_Kurchha Glauconite Block,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12686_MBS_Kurchha%20Glauconite%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12686_MBS_Kurchha%20Glauconite%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,
