priority_rank,material_name,official_india_critical_2023,chemical_names,symbols_or_formulae,representative_ores_or_forms,use_categories,ibm_nmi2025_resource_inventory_available,ibm_nmi2025_source_minerals_json,ibm_nmi2025_state_or_ut_count,ibm_nmi2025_linked_inventory_rows,ibm_mcdr_inspection_event_rows,ibm_mcdr_latest_inspected_mine_rows,ibm_mcdr_source_minerals_json,ibm_mcdr_regional_office_count
1,Antimony,True,"[""antimony""]","[""Sb""]","[""stibnite (Sb2S3)""]","[""flame retardants"",""alloys"",""electronics""]",True,"[""Antimony""]",2,6,0,0,[],0
2,Beryllium,True,"[""beryllium""]","[""Be""]","[""beryl (Be3Al2Si6O18)""]","[""aerospace alloys"",""electronics""]",False,[],0,0,0,0,[],0
3,Bismuth,True,"[""bismuth""]","[""Bi""]","[""bismuthinite (Bi2S3)""]","[""low-melting alloys"",""pharmaceuticals""]",False,[],0,0,0,0,[],0
4,Cobalt,True,"[""cobalt""]","[""Co""]","[""cobaltite (CoAsS)""]","[""lithium-ion batteries"",""superalloys""]",True,"[""Cobalt Ore""]",5,6,0,0,[],0
5,Copper,True,"[""copper""]","[""Cu""]","[""chalcopyrite (CuFeS2)"",""bornite (Cu5FeS4)""]","[""electrical grids"",""motors"",""electronics""]",True,"[""Copper""]",20,47,8,8,"[""COPPER"",""Copper"",""Copper Ore""]",3
6,Gallium,True,"[""gallium""]","[""Ga""]","[""by-product of bauxite and zinc processing""]","[""semiconductors"",""LEDs"",""solar cells""]",False,[],0,0,0,0,[],0
7,Germanium,True,"[""germanium""]","[""Ge""]","[""by-product of zinc ores and coal ash""]","[""fiber optics"",""infrared optics"",""semiconductors""]",False,[],0,0,0,0,[],0
8,Graphite,True,"[""carbon""]","[""C""]","[""natural graphite""]","[""battery anodes"",""refractories"",""lubricants""]",True,"[""Graphite""]",15,22,17,15,"[""GRAPHITE"",""Graphite""]",4
9,Hafnium,True,"[""hafnium""]","[""Hf""]","[""zircon-associated hafnium""]","[""superalloys"",""nuclear control rods"",""semiconductors""]",False,[],0,0,0,0,[],0
10,Indium,True,"[""indium""]","[""In""]","[""zinc-processing by-product""]","[""displays"",""transparent conductors"",""solar cells""]",False,[],0,0,0,0,[],0
11,Lithium,True,"[""lithium""]","[""Li""]","[""spodumene (LiAlSi2O6)"",""lepidolite"",""brines""]","[""lithium-ion batteries"",""ceramics"",""greases""]",False,[],0,0,0,0,[],0
12,Molybdenum,True,"[""molybdenum""]","[""Mo""]","[""molybdenite (MoS2)""]","[""alloy steel"",""catalysts"",""electronics""]",True,"[""Molybdenum""]",4,10,0,0,[],0
13,Niobium,True,"[""niobium""]","[""Nb""]","[""columbite ((Fe,Mn)Nb2O6)"",""pyrochlore""]","[""high-strength steel"",""superconductors""]",False,[],0,0,0,0,[],0
14,Nickel,True,"[""nickel""]","[""Ni""]","[""pentlandite ((Fe,Ni)9S8)"",""laterite ores""]","[""battery cathodes"",""stainless steel"",""superalloys""]",True,"[""Nickel Ore""]",5,10,0,0,[],0
15,Platinum-group elements,True,"[""platinum"",""palladium"",""rhodium"",""ruthenium"",""iridium"",""osmium""]","[""Pt"",""Pd"",""Rh"",""Ru"",""Ir"",""Os""]","[""platinum-group minerals""]","[""catalysts"",""fuel cells"",""electronics""]",True,"[""Platinum Group of Metals""]",5,6,0,0,[],0
16,Phosphorus,True,"[""phosphorus""]","[""P""]","[""apatite (Ca5(PO4)3(F,Cl,OH))"",""phosphorite""]","[""fertilizers"",""chemicals""]",True,"[""Apatite"",""Rock Phosphate""]",12,33,3,3,"[""ROCK PHOSPHATE"",""Rock Phosphate""]",2
17,Potash,True,"[""potassium chloride"",""potassium sulfate""]","[""KCl"",""K2SO4""]","[""sylvite (KCl)"",""carnallite (KMgCl3·6H2O)"",""glauconite""]","[""fertilizers"",""chemicals""]",True,"[""Potash""]",7,12,0,0,[],0
18,Rare-earth elements,True,"[""scandium"",""yttrium"",""lanthanum"",""cerium"",""praseodymium"",""neodymium"",""promethium"",""samarium"",""europium"",""gadolinium"",""terbium"",""dysprosium"",""holmium"",""erbium"",""thulium"",""ytterbium"",""lutetium""]","[""Sc"",""Y"",""La"",""Ce"",""Pr"",""Nd"",""Pm"",""Sm"",""Eu"",""Gd"",""Tb"",""Dy"",""Ho"",""Er"",""Tm"",""Yb"",""Lu""]","[""monazite ((Ce,La,Nd,Th)PO4)"",""bastnaesite ((Ce,La)CO3F)""]","[""permanent magnets"",""electronics"",""catalysts""]",True,"[""Rare Earth Elements""]",13,15,0,0,[],0
19,Rhenium,True,"[""rhenium""]","[""Re""]","[""molybdenite-associated rhenium""]","[""superalloys"",""catalysts""]",False,[],0,0,0,0,[],0
