record_id,material_name,fold_id,train_positive_rows,train_background_rows,test_positive_rows,test_background_rows,train_spatial_groups,test_spatial_groups,train_test_groups_disjoint,purge_distance_km,minimum_test_positive_to_training_positive_km,test_emag_valid_rate,baseline_roc_auc,emag_roc_auc,delta_roc_auc,baseline_average_precision,emag_average_precision,baseline_recall_at_background_top5pct,emag_recall_at_background_top5pct,experiment_version
EMAG2-ABL-COPPER-F1,Copper,1,89,3235,35,808,253,63,True,50.00000000,50.37231942,0.96559905,0.72850071,0.75031825,0.02181754,0.08217465,0.10067706,0.08571429,0.08571429,emag2-spatial-ablation-v0.1
EMAG2-ABL-COPPER-F2,Copper,2,113,3297,21,749,256,60,True,50.00000000,55.39100100,0.95974026,0.72280501,0.71644733,-0.00635768,0.06668223,0.06346801,0.04761905,0.04761905,emag2-spatial-ablation-v0.1
EMAG2-ABL-COPPER-F3,Copper,3,95,3179,34,859,252,65,True,50.00000000,50.63934772,0.98096305,0.44579881,0.44336780,-0.00243101,0.05314837,0.05410146,0.02941176,0.02941176,emag2-spatial-ablation-v0.1
EMAG2-ABL-COPPER-F4,Copper,4,114,3199,19,842,252,65,True,50.00000000,50.63934772,0.95005807,0.78259782,0.77697212,-0.00562570,0.14192746,0.11783931,0.31578947,0.26315789,emag2-spatial-ablation-v0.1
EMAG2-ABL-COPPER-F5,Copper,5,96,3221,27,822,253,64,True,50.00000000,58.98543868,0.91872792,0.62552942,0.62859331,0.00306389,0.07666512,0.07879113,0.18518519,0.22222222,emag2-spatial-ablation-v0.1
EMAG2-ABL-GRAPHITE-F1,Graphite,1,12,791,3,208,229,57,True,50.00000000,82.51496938,0.94786730,0.75641026,0.75160256,-0.00480769,0.12283294,0.12268519,0.66666667,0.66666667,emag2-spatial-ablation-v0.1
EMAG2-ABL-GRAPHITE-F2,Graphite,2,14,803,1,197,229,57,True,50.00000000,80.83129999,0.96464646,0.97969543,0.97461929,-0.00507614,0.20000000,0.16666667,1.00000000,1.00000000,emag2-spatial-ablation-v0.1
EMAG2-ABL-GRAPHITE-F3,Graphite,3,11,807,3,189,229,57,True,50.00000000,80.83129999,0.95312500,0.46560847,0.71781305,0.25220459,0.05262903,0.04294966,0.33333333,0.00000000,emag2-spatial-ablation-v0.1
EMAG2-ABL-GRAPHITE-F4,Graphite,4,10,799,5,199,228,58,True,50.00000000,52.83797544,0.92156863,0.80703518,0.77386935,-0.03316583,0.40416579,0.39575422,0.60000000,0.60000000,emag2-spatial-ablation-v0.1
EMAG2-ABL-GRAPHITE-F5,Graphite,5,11,792,3,207,229,57,True,50.00000000,52.83797544,0.99047619,0.95491143,0.96457327,0.00966184,0.23611111,0.32777778,0.66666667,0.66666667,emag2-spatial-ablation-v0.1
EMAG2-ABL-PHOSPHORUS-F1,Phosphorus,1,60,1673,10,420,248,64,True,50.00000000,65.52200929,0.93488372,0.74238095,0.78523810,0.04285714,0.05211138,0.05900616,0.00000000,0.00000000,emag2-spatial-ablation-v0.1
EMAG2-ABL-PHOSPHORUS-F2,Phosphorus,2,65,1656,5,441,249,62,True,50.00000000,68.05870404,0.93721973,0.65442177,0.66258503,0.00816327,0.02526592,0.02024075,0.20000000,0.00000000,emag2-spatial-ablation-v0.1
EMAG2-ABL-PHOSPHORUS-F3,Phosphorus,3,40,1667,22,416,248,64,True,50.00000000,56.61463862,0.96347032,0.73623252,0.75240385,0.01617133,0.19003071,0.20360145,0.18181818,0.18181818,emag2-spatial-ablation-v0.1
EMAG2-ABL-PHOSPHORUS-F4,Phosphorus,4,39,1684,18,401,254,58,True,50.00000000,56.61463862,0.98090692,0.67068440,0.68107509,0.01039069,0.07879827,0.08743778,0.11111111,0.16666667,emag2-spatial-ablation-v0.1
EMAG2-ABL-PHOSPHORUS-F5,Phosphorus,5,53,1660,15,422,247,64,True,50.00000000,65.86125732,0.94508009,0.77456556,0.78546603,0.01090047,0.11277175,0.15048558,0.20000000,0.40000000,emag2-spatial-ablation-v0.1
EMAG2-ABL-SILICON-F1,Silicon,1,73,2211,12,567,254,63,True,50.00000000,52.05613767,0.95854922,0.73809524,0.77101705,0.03292181,0.11900562,0.22377757,0.25000000,0.33333333,emag2-spatial-ablation-v0.1
EMAG2-ABL-SILICON-F2,Silicon,2,85,2216,8,564,254,63,True,50.00000000,56.77803891,0.97202797,0.76484929,0.76218972,-0.00265957,0.05190715,0.05098160,0.37500000,0.37500000,emag2-spatial-ablation-v0.1
EMAG2-ABL-SILICON-F3,Silicon,3,52,2203,35,542,251,66,True,50.00000000,62.36283621,0.94280763,0.73964154,0.78060095,0.04095941,0.15157714,0.24644833,0.28571429,0.42857143,emag2-spatial-ablation-v0.1
EMAG2-ABL-SILICON-F4,Silicon,4,75,2217,14,554,256,61,True,50.00000000,58.81826847,0.95950704,0.77784941,0.82284683,0.04499742,0.07070137,0.09379043,0.14285714,0.28571429,emag2-spatial-ablation-v0.1
EMAG2-ABL-SILICON-F5,Silicon,5,64,2213,24,563,253,64,True,50.00000000,60.92842439,0.91822828,0.69715808,0.73638247,0.03922439,0.06634380,0.07386426,0.00000000,0.04166667,emag2-spatial-ablation-v0.1
EMAG2-ABL-TITANIUM-F1,Titanium,1,32,817,1,183,227,56,True,50.00000000,153.97497389,0.95108696,0.82513661,0.90163934,0.07650273,0.03030303,0.05263158,0.00000000,0.00000000,emag2-spatial-ablation-v0.1
EMAG2-ABL-TITANIUM-F2,Titanium,2,25,798,8,197,228,55,True,50.00000000,88.37299637,0.89268293,0.72969543,0.74873096,0.01903553,0.07991568,0.10854840,0.00000000,0.25000000,emag2-spatial-ablation-v0.1
EMAG2-ABL-TITANIUM-F3,Titanium,3,20,775,12,221,225,58,True,50.00000000,75.88025371,0.93991416,0.81221719,0.79826546,-0.01395173,0.28551977,0.31424758,0.41666667,0.33333333,emag2-spatial-ablation-v0.1
EMAG2-ABL-TITANIUM-F4,Titanium,4,22,809,9,187,226,57,True,50.00000000,75.88025371,0.95918367,0.77599525,0.77599525,0.00000000,0.14485809,0.14311796,0.33333333,0.22222222,emag2-spatial-ablation-v0.1
EMAG2-ABL-TITANIUM-F5,Titanium,5,30,788,3,212,226,57,True,50.00000000,88.37299637,0.96279070,0.85691824,0.90723270,0.05031447,0.05932706,0.09356884,0.00000000,0.33333333,emag2-spatial-ablation-v0.1
EMAG2-ABL-VANADIUM-F1,Vanadium,1,8,802,2,196,232,58,True,50.00000000,197.89426740,0.93939394,0.68877551,0.71428571,0.02551020,0.02444842,0.02575758,0.00000000,0.00000000,emag2-spatial-ablation-v0.1
EMAG2-ABL-VANADIUM-F2,Vanadium,2,9,803,1,197,233,57,True,50.00000000,244.23144786,0.96464646,0.56852792,0.25380711,-0.31472081,0.01162791,0.00675676,0.00000000,0.00000000,emag2-spatial-ablation-v0.1
EMAG2-ABL-VANADIUM-F3,Vanadium,3,8,793,2,207,231,59,True,50.00000000,649.39022427,0.95693780,0.30917874,0.27536232,-0.03381643,0.01021310,0.00989021,0.00000000,0.00000000,emag2-spatial-ablation-v0.1
EMAG2-ABL-VANADIUM-F4,Vanadium,4,6,802,4,196,232,58,True,50.00000000,168.27337049,0.94000000,0.36479592,0.44387755,0.07908163,0.01933497,0.02236534,0.00000000,0.00000000,emag2-spatial-ablation-v0.1
EMAG2-ABL-VANADIUM-F5,Vanadium,5,9,796,1,204,232,58,True,50.00000000,168.27337049,0.93170732,0.49509804,0.50980392,0.01470588,0.00961538,0.00990099,0.00000000,0.00000000,emag2-spatial-ablation-v0.1
