material_name,known_evidence_records,modelled,model_support_level,score_note,spatial_cv_positive_records,spatial_cv_folds,spatial_cv_background_cells,spatial_holdout_pseudoabsence_roc_auc,spatial_holdout_recall_at_background_top5pct,validation_note
Antimony,1,True,low,0.80 distance + 0.20 density; insufficient evidence for candidate percentiles,1,0,0,,,Not validated: fewer than 10 mapped India evidence records.
Beryllium,0,False,none,No mapped MRDS evidence in India; no grid score produced.,0,0,0,,,Not validated: fewer than 10 mapped India evidence records.
Bismuth,0,False,none,No mapped MRDS evidence in India; no grid score produced.,0,0,0,,,Not validated: fewer than 10 mapped India evidence records.
Cobalt,4,True,low,0.80 distance + 0.20 density; insufficient evidence for candidate percentiles,4,0,0,,,Not validated: fewer than 10 mapped India evidence records.
Copper,174,True,high,0.50 geology + 0.35 distance + 0.15 density,174,5,3480,0.6435955872638394,0.1781609195402299,Spatial GroupKFold by H3 resolution-3; held-out evidence compared with sampled cells more than 25 km from catalog evidence. Background is not confirmed barren.
Gallium,1,True,low,0.80 distance + 0.20 density; insufficient evidence for candidate percentiles,1,0,0,,,Not validated: fewer than 10 mapped India evidence records.
Germanium,0,False,none,No mapped MRDS evidence in India; no grid score produced.,0,0,0,,,Not validated: fewer than 10 mapped India evidence records.
Graphite,15,True,medium,0.50 geology + 0.35 distance + 0.15 density,15,5,500,0.8705333333333333,0.5333333333333333,Spatial GroupKFold by H3 resolution-3; held-out evidence compared with sampled cells more than 25 km from catalog evidence. Background is not confirmed barren.
Hafnium,0,False,none,No mapped MRDS evidence in India; no grid score produced.,0,0,0,,,Not validated: fewer than 10 mapped India evidence records.
Indium,0,False,none,No mapped MRDS evidence in India; no grid score produced.,0,0,0,,,Not validated: fewer than 10 mapped India evidence records.
Lithium,1,True,low,0.80 distance + 0.20 density; insufficient evidence for candidate percentiles,1,0,0,,,Not validated: fewer than 10 mapped India evidence records.
Molybdenum,4,True,low,0.80 distance + 0.20 density; insufficient evidence for candidate percentiles,4,0,0,,,Not validated: fewer than 10 mapped India evidence records.
Niobium,0,False,none,No mapped MRDS evidence in India; no grid score produced.,0,0,0,,,Not validated: fewer than 10 mapped India evidence records.
Nickel,7,True,medium,0.50 geology + 0.35 distance + 0.15 density,7,0,0,,,Not validated: fewer than 10 mapped India evidence records.
