record_id,material_name,known_evidence_records_raw,unique_positive_h3_cells,positive_h3_r3_groups,positive_sentinel_complete_cells,positive_sentinel_complete_rate,background_cells_sampled,background_sentinel_complete_rate,spatial_cv_folds,oof_positive_rows,oof_background_rows,baseline_roc_auc,sentinel2_roc_auc,delta_roc_auc,delta_roc_auc_group_bootstrap_ci95_low,delta_roc_auc_group_bootstrap_ci95_high,baseline_average_precision,sentinel2_average_precision,delta_average_precision,baseline_recall_at_background_top5pct,sentinel2_recall_at_background_top5pct,delta_recall_at_background_top5pct,baseline_brier_score,sentinel2_brier_score,folds_with_positive_auc_gain,folds_with_negative_auc_gain,minimum_test_positive_to_training_positive_km,admission_gate_result,sentinel2_feature_admission_decision,decision_reason,production_scoring_status,candidate_scores_recomputed,experiment_version,background_interpretation,baseline_features_json,sentinel2_features_json
S2-ABL-ANTIMONY,Antimony,1,1,1,1,1.00000000,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,sentinel2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""annual_bare_b02_reflectance_median"",""annual_bare_b03_reflectance_median"",""annual_bare_b04_reflectance_median"",""annual_bare_b08_reflectance_median"",""annual_bare_b11_reflectance_median"",""annual_bare_b12_reflectance_median"",""annual_bare_ndvi_median"",""annual_bare_ndmi_median"",""annual_bare_bsi_median"",""annual_bare_ndti_median"",""annual_bare_red_blue_ratio_median"",""annual_bare_swir1_swir2_ratio_median"",""dry_clear_land_ndvi_median"",""dry_clear_land_ndmi_median"",""dry_clear_land_bsi_median"",""post_clear_land_ndvi_median"",""post_clear_land_ndmi_median"",""post_clear_land_bsi_median""]"
S2-ABL-BERYLLIUM,Beryllium,0,0,0,0,,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,sentinel2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""annual_bare_b02_reflectance_median"",""annual_bare_b03_reflectance_median"",""annual_bare_b04_reflectance_median"",""annual_bare_b08_reflectance_median"",""annual_bare_b11_reflectance_median"",""annual_bare_b12_reflectance_median"",""annual_bare_ndvi_median"",""annual_bare_ndmi_median"",""annual_bare_bsi_median"",""annual_bare_ndti_median"",""annual_bare_red_blue_ratio_median"",""annual_bare_swir1_swir2_ratio_median"",""dry_clear_land_ndvi_median"",""dry_clear_land_ndmi_median"",""dry_clear_land_bsi_median"",""post_clear_land_ndvi_median"",""post_clear_land_ndmi_median"",""post_clear_land_bsi_median""]"
S2-ABL-BISMUTH,Bismuth,0,0,0,0,,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,sentinel2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""annual_bare_b02_reflectance_median"",""annual_bare_b03_reflectance_median"",""annual_bare_b04_reflectance_median"",""annual_bare_b08_reflectance_median"",""annual_bare_b11_reflectance_median"",""annual_bare_b12_reflectance_median"",""annual_bare_ndvi_median"",""annual_bare_ndmi_median"",""annual_bare_bsi_median"",""annual_bare_ndti_median"",""annual_bare_red_blue_ratio_median"",""annual_bare_swir1_swir2_ratio_median"",""dry_clear_land_ndvi_median"",""dry_clear_land_ndmi_median"",""dry_clear_land_bsi_median"",""post_clear_land_ndvi_median"",""post_clear_land_ndmi_median"",""post_clear_land_bsi_median""]"
S2-ABL-COBALT,Cobalt,4,4,4,4,1.00000000,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,sentinel2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""annual_bare_b02_reflectance_median"",""annual_bare_b03_reflectance_median"",""annual_bare_b04_reflectance_median"",""annual_bare_b08_reflectance_median"",""annual_bare_b11_reflectance_median"",""annual_bare_b12_reflectance_median"",""annual_bare_ndvi_median"",""annual_bare_ndmi_median"",""annual_bare_bsi_median"",""annual_bare_ndti_median"",""annual_bare_red_blue_ratio_median"",""annual_bare_swir1_swir2_ratio_median"",""dry_clear_land_ndvi_median"",""dry_clear_land_ndmi_median"",""dry_clear_land_bsi_median"",""post_clear_land_ndvi_median"",""post_clear_land_ndmi_median"",""post_clear_land_bsi_median""]"
S2-ABL-COPPER,Copper,174,136,60,136,1.00000000,4080,0.96617647,5,136,4080,0.65911368,0.66634047,0.00722679,-0.02122659,0.03277646,0.06860044,0.06778195,-0.00081849,0.11764706,0.12500000,0.00735294,0.08771359,0.08880822,2,3,50.37231942,False,not_admitted_inconclusive_or_below_threshold,one_or_more_predefined_admission_gates_failed,not_admitted_shadow_evaluation_only,False,sentinel2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""annual_bare_b02_reflectance_median"",""annual_bare_b03_reflectance_median"",""annual_bare_b04_reflectance_median"",""annual_bare_b08_reflectance_median"",""annual_bare_b11_reflectance_median"",""annual_bare_b12_reflectance_median"",""annual_bare_ndvi_median"",""annual_bare_ndmi_median"",""annual_bare_bsi_median"",""annual_bare_ndti_median"",""annual_bare_red_blue_ratio_median"",""annual_bare_swir1_swir2_ratio_median"",""dry_clear_land_ndvi_median"",""dry_clear_land_ndmi_median"",""dry_clear_land_bsi_median"",""post_clear_land_ndvi_median"",""post_clear_land_ndmi_median"",""post_clear_land_bsi_median""]"
S2-ABL-GALLIUM,Gallium,1,1,1,1,1.00000000,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,sentinel2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""annual_bare_b02_reflectance_median"",""annual_bare_b03_reflectance_median"",""annual_bare_b04_reflectance_median"",""annual_bare_b08_reflectance_median"",""annual_bare_b11_reflectance_median"",""annual_bare_b12_reflectance_median"",""annual_bare_ndvi_median"",""annual_bare_ndmi_median"",""annual_bare_bsi_median"",""annual_bare_ndti_median"",""annual_bare_red_blue_ratio_median"",""annual_bare_swir1_swir2_ratio_median"",""dry_clear_land_ndvi_median"",""dry_clear_land_ndmi_median"",""dry_clear_land_bsi_median"",""post_clear_land_ndvi_median"",""post_clear_land_ndmi_median"",""post_clear_land_bsi_median""]"
S2-ABL-GERMANIUM,Germanium,0,0,0,0,,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,sentinel2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""annual_bare_b02_reflectance_median"",""annual_bare_b03_reflectance_median"",""annual_bare_b04_reflectance_median"",""annual_bare_b08_reflectance_median"",""annual_bare_b11_reflectance_median"",""annual_bare_b12_reflectance_median"",""annual_bare_ndvi_median"",""annual_bare_ndmi_median"",""annual_bare_bsi_median"",""annual_bare_ndti_median"",""annual_bare_red_blue_ratio_median"",""annual_bare_swir1_swir2_ratio_median"",""dry_clear_land_ndvi_median"",""dry_clear_land_ndmi_median"",""dry_clear_land_bsi_median"",""post_clear_land_ndvi_median"",""post_clear_land_ndmi_median"",""post_clear_land_bsi_median""]"
S2-ABL-GRAPHITE,Graphite,15,15,12,15,1.00000000,1000,0.96900000,5,15,1000,0.79200000,0.78466667,-0.00733333,-0.10395057,0.09548707,0.13327860,0.13330153,0.00002293,0.60000000,0.60000000,0.00000000,0.07447133,0.06928845,2,3,52.83797544,False,not_admitted_performance_degraded,paired_out_of_fold_roc_auc_decreased,not_admitted_shadow_evaluation_only,False,sentinel2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""annual_bare_b02_reflectance_median"",""annual_bare_b03_reflectance_median"",""annual_bare_b04_reflectance_median"",""annual_bare_b08_reflectance_median"",""annual_bare_b11_reflectance_median"",""annual_bare_b12_reflectance_median"",""annual_bare_ndvi_median"",""annual_bare_ndmi_median"",""annual_bare_bsi_median"",""annual_bare_ndti_median"",""annual_bare_red_blue_ratio_median"",""annual_bare_swir1_swir2_ratio_median"",""dry_clear_land_ndvi_median"",""dry_clear_land_ndmi_median"",""dry_clear_land_bsi_median"",""post_clear_land_ndvi_median"",""post_clear_land_ndmi_median"",""post_clear_land_bsi_median""]"
S2-ABL-HAFNIUM,Hafnium,0,0,0,0,,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,sentinel2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""annual_bare_b02_reflectance_median"",""annual_bare_b03_reflectance_median"",""annual_bare_b04_reflectance_median"",""annual_bare_b08_reflectance_median"",""annual_bare_b11_reflectance_median"",""annual_bare_b12_reflectance_median"",""annual_bare_ndvi_median"",""annual_bare_ndmi_median"",""annual_bare_bsi_median"",""annual_bare_ndti_median"",""annual_bare_red_blue_ratio_median"",""annual_bare_swir1_swir2_ratio_median"",""dry_clear_land_ndvi_median"",""dry_clear_land_ndmi_median"",""dry_clear_land_bsi_median"",""post_clear_land_ndvi_median"",""post_clear_land_ndmi_median"",""post_clear_land_bsi_median""]"
S2-ABL-INDIUM,Indium,0,0,0,0,,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,sentinel2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""annual_bare_b02_reflectance_median"",""annual_bare_b03_reflectance_median"",""annual_bare_b04_reflectance_median"",""annual_bare_b08_reflectance_median"",""annual_bare_b11_reflectance_median"",""annual_bare_b12_reflectance_median"",""annual_bare_ndvi_median"",""annual_bare_ndmi_median"",""annual_bare_bsi_median"",""annual_bare_ndti_median"",""annual_bare_red_blue_ratio_median"",""annual_bare_swir1_swir2_ratio_median"",""dry_clear_land_ndvi_median"",""dry_clear_land_ndmi_median"",""dry_clear_land_bsi_median"",""post_clear_land_ndvi_median"",""post_clear_land_ndmi_median"",""post_clear_land_bsi_median""]"
