record_id,material_name,fold_id,train_positive_rows,train_background_rows,test_positive_rows,test_background_rows,train_spatial_groups,test_spatial_groups,train_test_groups_disjoint,purge_distance_km,minimum_test_positive_to_training_positive_km,test_sentinel_complete_rate,baseline_roc_auc,sentinel2_roc_auc,delta_roc_auc,baseline_average_precision,sentinel2_average_precision,baseline_recall_at_background_top5pct,sentinel2_recall_at_background_top5pct,experiment_version
S2-ABL-COPPER-F1,Copper,1,89,3235,35,808,253,63,True,50.00000000,50.37231942,0.95017794,0.72850071,0.71318953,-0.01531117,0.08217465,0.08366607,0.08571429,0.05714286,sentinel2-spatial-ablation-v0.1
S2-ABL-COPPER-F2,Copper,2,113,3297,21,749,256,60,True,50.00000000,55.39100100,0.97792208,0.72280501,0.68771060,-0.03509441,0.06668223,0.06528673,0.04761905,0.14285714,sentinel2-spatial-ablation-v0.1
S2-ABL-COPPER-F3,Copper,3,95,3179,34,859,252,65,True,50.00000000,50.63934772,0.97200448,0.44579881,0.52396768,0.07816887,0.05314837,0.07625061,0.02941176,0.05882353,sentinel2-spatial-ablation-v0.1
S2-ABL-COPPER-F4,Copper,4,114,3199,19,842,252,65,True,50.00000000,50.63934772,0.97677120,0.78259782,0.75909489,-0.02350294,0.14192746,0.12514612,0.31578947,0.31578947,sentinel2-spatial-ablation-v0.1
S2-ABL-COPPER-F5,Copper,5,96,3221,27,822,253,64,True,50.00000000,58.98543868,0.95995289,0.62552942,0.64341714,0.01788772,0.07666512,0.07123370,0.18518519,0.14814815,sentinel2-spatial-ablation-v0.1
S2-ABL-GRAPHITE-F1,Graphite,1,12,791,3,208,229,57,True,50.00000000,82.51496938,0.97630332,0.75641026,0.73397436,-0.02243590,0.12283294,0.12810338,0.66666667,0.66666667,sentinel2-spatial-ablation-v0.1
S2-ABL-GRAPHITE-F2,Graphite,2,14,803,1,197,229,57,True,50.00000000,80.83129999,0.97474747,0.97969543,0.97461929,-0.00507614,0.20000000,0.16666667,1.00000000,1.00000000,sentinel2-spatial-ablation-v0.1
S2-ABL-GRAPHITE-F3,Graphite,3,11,807,3,189,229,57,True,50.00000000,80.83129999,0.96354167,0.46560847,0.71075838,0.24514991,0.05262903,0.05999336,0.33333333,0.33333333,sentinel2-spatial-ablation-v0.1
S2-ABL-GRAPHITE-F4,Graphite,4,10,799,5,199,228,58,True,50.00000000,52.83797544,0.96568627,0.80703518,0.73869347,-0.06834171,0.40416579,0.23293121,0.60000000,0.60000000,sentinel2-spatial-ablation-v0.1
S2-ABL-GRAPHITE-F5,Graphite,5,11,792,3,207,229,57,True,50.00000000,52.83797544,0.96666667,0.95491143,0.95652174,0.00161031,0.23611111,0.59003831,0.66666667,0.66666667,sentinel2-spatial-ablation-v0.1
S2-ABL-PHOSPHORUS-F1,Phosphorus,1,60,1673,10,420,248,64,True,50.00000000,65.52200929,0.96976744,0.74238095,0.76880952,0.02642857,0.05211138,0.07770027,0.00000000,0.30000000,sentinel2-spatial-ablation-v0.1
S2-ABL-PHOSPHORUS-F2,Phosphorus,2,65,1656,5,441,249,62,True,50.00000000,68.05870404,0.96860987,0.65442177,0.64399093,-0.01043084,0.02526592,0.02518840,0.20000000,0.00000000,sentinel2-spatial-ablation-v0.1
S2-ABL-PHOSPHORUS-F3,Phosphorus,3,40,1667,22,416,248,64,True,50.00000000,56.61463862,0.96347032,0.73623252,0.61407343,-0.12215909,0.19003071,0.17549536,0.18181818,0.18181818,sentinel2-spatial-ablation-v0.1
S2-ABL-PHOSPHORUS-F4,Phosphorus,4,39,1684,18,401,254,58,True,50.00000000,56.61463862,0.98806683,0.67068440,0.50540316,-0.16528124,0.07879827,0.04629262,0.11111111,0.00000000,sentinel2-spatial-ablation-v0.1
