record_id,material_name,known_evidence_records_raw,unique_positive_h3_cells,positive_h3_r3_groups,positive_soil_complete_cells,positive_soil_complete_rate,background_cells_sampled,background_soil_complete_rate,spatial_cv_folds,oof_positive_rows,oof_background_rows,baseline_roc_auc,soilgrids_roc_auc,delta_roc_auc,delta_roc_auc_group_bootstrap_ci95_low,delta_roc_auc_group_bootstrap_ci95_high,baseline_average_precision,soilgrids_average_precision,delta_average_precision,baseline_recall_at_background_top5pct,soilgrids_recall_at_background_top5pct,delta_recall_at_background_top5pct,baseline_brier_score,soilgrids_brier_score,folds_with_positive_auc_gain,folds_with_negative_auc_gain,minimum_test_positive_to_training_positive_km,admission_gate_result,soilgrids_feature_admission_decision,decision_reason,production_scoring_status,candidate_scores_recomputed,experiment_version,background_interpretation,baseline_features_json,soilgrids_features_json
SOIL-ABL-ANTIMONY,Antimony,1,1,1,1,1.00000000,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,soilgrids-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""soilgrids_phh2o_0_5cm_mean"",""soilgrids_phh2o_30_60cm_mean"",""soilgrids_clay_0_5cm_mean"",""soilgrids_clay_30_60cm_mean"",""soilgrids_sand_0_5cm_mean"",""soilgrids_sand_30_60cm_mean"",""soilgrids_silt_0_5cm_mean"",""soilgrids_silt_30_60cm_mean"",""soilgrids_soc_0_5cm_mean"",""soilgrids_soc_30_60cm_mean"",""soilgrids_cec_0_5cm_mean"",""soilgrids_cec_30_60cm_mean"",""soilgrids_nitrogen_0_5cm_mean"",""soilgrids_nitrogen_30_60cm_mean"",""soilgrids_bdod_0_5cm_mean"",""soilgrids_bdod_30_60cm_mean"",""soilgrids_cfvo_0_5cm_mean"",""soilgrids_cfvo_30_60cm_mean"",""soilgrids_phh2o_0_5cm_p90_width"",""soilgrids_phh2o_30_60cm_p90_width"",""soilgrids_clay_0_5cm_p90_width"",""soilgrids_clay_30_60cm_p90_width"",""soilgrids_sand_0_5cm_p90_width"",""soilgrids_sand_30_60cm_p90_width"",""soilgrids_silt_0_5cm_p90_width"",""soilgrids_silt_30_60cm_p90_width"",""soilgrids_soc_0_5cm_p90_width"",""soilgrids_soc_30_60cm_p90_width"",""soilgrids_cec_0_5cm_p90_width"",""soilgrids_cec_30_60cm_p90_width"",""soilgrids_nitrogen_0_5cm_p90_width"",""soilgrids_nitrogen_30_60cm_p90_width"",""soilgrids_bdod_0_5cm_p90_width"",""soilgrids_bdod_30_60cm_p90_width"",""soilgrids_cfvo_0_5cm_p90_width"",""soilgrids_cfvo_30_60cm_p90_width""]"
SOIL-ABL-BERYLLIUM,Beryllium,0,0,0,0,,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,soilgrids-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""soilgrids_phh2o_0_5cm_mean"",""soilgrids_phh2o_30_60cm_mean"",""soilgrids_clay_0_5cm_mean"",""soilgrids_clay_30_60cm_mean"",""soilgrids_sand_0_5cm_mean"",""soilgrids_sand_30_60cm_mean"",""soilgrids_silt_0_5cm_mean"",""soilgrids_silt_30_60cm_mean"",""soilgrids_soc_0_5cm_mean"",""soilgrids_soc_30_60cm_mean"",""soilgrids_cec_0_5cm_mean"",""soilgrids_cec_30_60cm_mean"",""soilgrids_nitrogen_0_5cm_mean"",""soilgrids_nitrogen_30_60cm_mean"",""soilgrids_bdod_0_5cm_mean"",""soilgrids_bdod_30_60cm_mean"",""soilgrids_cfvo_0_5cm_mean"",""soilgrids_cfvo_30_60cm_mean"",""soilgrids_phh2o_0_5cm_p90_width"",""soilgrids_phh2o_30_60cm_p90_width"",""soilgrids_clay_0_5cm_p90_width"",""soilgrids_clay_30_60cm_p90_width"",""soilgrids_sand_0_5cm_p90_width"",""soilgrids_sand_30_60cm_p90_width"",""soilgrids_silt_0_5cm_p90_width"",""soilgrids_silt_30_60cm_p90_width"",""soilgrids_soc_0_5cm_p90_width"",""soilgrids_soc_30_60cm_p90_width"",""soilgrids_cec_0_5cm_p90_width"",""soilgrids_cec_30_60cm_p90_width"",""soilgrids_nitrogen_0_5cm_p90_width"",""soilgrids_nitrogen_30_60cm_p90_width"",""soilgrids_bdod_0_5cm_p90_width"",""soilgrids_bdod_30_60cm_p90_width"",""soilgrids_cfvo_0_5cm_p90_width"",""soilgrids_cfvo_30_60cm_p90_width""]"
SOIL-ABL-BISMUTH,Bismuth,0,0,0,0,,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,soilgrids-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""soilgrids_phh2o_0_5cm_mean"",""soilgrids_phh2o_30_60cm_mean"",""soilgrids_clay_0_5cm_mean"",""soilgrids_clay_30_60cm_mean"",""soilgrids_sand_0_5cm_mean"",""soilgrids_sand_30_60cm_mean"",""soilgrids_silt_0_5cm_mean"",""soilgrids_silt_30_60cm_mean"",""soilgrids_soc_0_5cm_mean"",""soilgrids_soc_30_60cm_mean"",""soilgrids_cec_0_5cm_mean"",""soilgrids_cec_30_60cm_mean"",""soilgrids_nitrogen_0_5cm_mean"",""soilgrids_nitrogen_30_60cm_mean"",""soilgrids_bdod_0_5cm_mean"",""soilgrids_bdod_30_60cm_mean"",""soilgrids_cfvo_0_5cm_mean"",""soilgrids_cfvo_30_60cm_mean"",""soilgrids_phh2o_0_5cm_p90_width"",""soilgrids_phh2o_30_60cm_p90_width"",""soilgrids_clay_0_5cm_p90_width"",""soilgrids_clay_30_60cm_p90_width"",""soilgrids_sand_0_5cm_p90_width"",""soilgrids_sand_30_60cm_p90_width"",""soilgrids_silt_0_5cm_p90_width"",""soilgrids_silt_30_60cm_p90_width"",""soilgrids_soc_0_5cm_p90_width"",""soilgrids_soc_30_60cm_p90_width"",""soilgrids_cec_0_5cm_p90_width"",""soilgrids_cec_30_60cm_p90_width"",""soilgrids_nitrogen_0_5cm_p90_width"",""soilgrids_nitrogen_30_60cm_p90_width"",""soilgrids_bdod_0_5cm_p90_width"",""soilgrids_bdod_30_60cm_p90_width"",""soilgrids_cfvo_0_5cm_p90_width"",""soilgrids_cfvo_30_60cm_p90_width""]"
SOIL-ABL-COBALT,Cobalt,4,4,4,4,1.00000000,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,soilgrids-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""soilgrids_phh2o_0_5cm_mean"",""soilgrids_phh2o_30_60cm_mean"",""soilgrids_clay_0_5cm_mean"",""soilgrids_clay_30_60cm_mean"",""soilgrids_sand_0_5cm_mean"",""soilgrids_sand_30_60cm_mean"",""soilgrids_silt_0_5cm_mean"",""soilgrids_silt_30_60cm_mean"",""soilgrids_soc_0_5cm_mean"",""soilgrids_soc_30_60cm_mean"",""soilgrids_cec_0_5cm_mean"",""soilgrids_cec_30_60cm_mean"",""soilgrids_nitrogen_0_5cm_mean"",""soilgrids_nitrogen_30_60cm_mean"",""soilgrids_bdod_0_5cm_mean"",""soilgrids_bdod_30_60cm_mean"",""soilgrids_cfvo_0_5cm_mean"",""soilgrids_cfvo_30_60cm_mean"",""soilgrids_phh2o_0_5cm_p90_width"",""soilgrids_phh2o_30_60cm_p90_width"",""soilgrids_clay_0_5cm_p90_width"",""soilgrids_clay_30_60cm_p90_width"",""soilgrids_sand_0_5cm_p90_width"",""soilgrids_sand_30_60cm_p90_width"",""soilgrids_silt_0_5cm_p90_width"",""soilgrids_silt_30_60cm_p90_width"",""soilgrids_soc_0_5cm_p90_width"",""soilgrids_soc_30_60cm_p90_width"",""soilgrids_cec_0_5cm_p90_width"",""soilgrids_cec_30_60cm_p90_width"",""soilgrids_nitrogen_0_5cm_p90_width"",""soilgrids_nitrogen_30_60cm_p90_width"",""soilgrids_bdod_0_5cm_p90_width"",""soilgrids_bdod_30_60cm_p90_width"",""soilgrids_cfvo_0_5cm_p90_width"",""soilgrids_cfvo_30_60cm_p90_width""]"
SOIL-ABL-COPPER,Copper,174,136,60,135,0.99264706,4080,0.98946078,5,136,4080,0.65911368,0.66193231,0.00281863,-0.03759258,0.04256802,0.06860044,0.07041797,0.00181753,0.11764706,0.12500000,0.00735294,0.08771359,0.09152282,3,2,50.37231942,False,not_admitted_inconclusive_or_below_threshold,one_or_more_predefined_admission_gates_failed,not_admitted_shadow_evaluation_only,False,soilgrids-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""soilgrids_phh2o_0_5cm_mean"",""soilgrids_phh2o_30_60cm_mean"",""soilgrids_clay_0_5cm_mean"",""soilgrids_clay_30_60cm_mean"",""soilgrids_sand_0_5cm_mean"",""soilgrids_sand_30_60cm_mean"",""soilgrids_silt_0_5cm_mean"",""soilgrids_silt_30_60cm_mean"",""soilgrids_soc_0_5cm_mean"",""soilgrids_soc_30_60cm_mean"",""soilgrids_cec_0_5cm_mean"",""soilgrids_cec_30_60cm_mean"",""soilgrids_nitrogen_0_5cm_mean"",""soilgrids_nitrogen_30_60cm_mean"",""soilgrids_bdod_0_5cm_mean"",""soilgrids_bdod_30_60cm_mean"",""soilgrids_cfvo_0_5cm_mean"",""soilgrids_cfvo_30_60cm_mean"",""soilgrids_phh2o_0_5cm_p90_width"",""soilgrids_phh2o_30_60cm_p90_width"",""soilgrids_clay_0_5cm_p90_width"",""soilgrids_clay_30_60cm_p90_width"",""soilgrids_sand_0_5cm_p90_width"",""soilgrids_sand_30_60cm_p90_width"",""soilgrids_silt_0_5cm_p90_width"",""soilgrids_silt_30_60cm_p90_width"",""soilgrids_soc_0_5cm_p90_width"",""soilgrids_soc_30_60cm_p90_width"",""soilgrids_cec_0_5cm_p90_width"",""soilgrids_cec_30_60cm_p90_width"",""soilgrids_nitrogen_0_5cm_p90_width"",""soilgrids_nitrogen_30_60cm_p90_width"",""soilgrids_bdod_0_5cm_p90_width"",""soilgrids_bdod_30_60cm_p90_width"",""soilgrids_cfvo_0_5cm_p90_width"",""soilgrids_cfvo_30_60cm_p90_width""]"
SOIL-ABL-GALLIUM,Gallium,1,1,1,1,1.00000000,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,soilgrids-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""soilgrids_phh2o_0_5cm_mean"",""soilgrids_phh2o_30_60cm_mean"",""soilgrids_clay_0_5cm_mean"",""soilgrids_clay_30_60cm_mean"",""soilgrids_sand_0_5cm_mean"",""soilgrids_sand_30_60cm_mean"",""soilgrids_silt_0_5cm_mean"",""soilgrids_silt_30_60cm_mean"",""soilgrids_soc_0_5cm_mean"",""soilgrids_soc_30_60cm_mean"",""soilgrids_cec_0_5cm_mean"",""soilgrids_cec_30_60cm_mean"",""soilgrids_nitrogen_0_5cm_mean"",""soilgrids_nitrogen_30_60cm_mean"",""soilgrids_bdod_0_5cm_mean"",""soilgrids_bdod_30_60cm_mean"",""soilgrids_cfvo_0_5cm_mean"",""soilgrids_cfvo_30_60cm_mean"",""soilgrids_phh2o_0_5cm_p90_width"",""soilgrids_phh2o_30_60cm_p90_width"",""soilgrids_clay_0_5cm_p90_width"",""soilgrids_clay_30_60cm_p90_width"",""soilgrids_sand_0_5cm_p90_width"",""soilgrids_sand_30_60cm_p90_width"",""soilgrids_silt_0_5cm_p90_width"",""soilgrids_silt_30_60cm_p90_width"",""soilgrids_soc_0_5cm_p90_width"",""soilgrids_soc_30_60cm_p90_width"",""soilgrids_cec_0_5cm_p90_width"",""soilgrids_cec_30_60cm_p90_width"",""soilgrids_nitrogen_0_5cm_p90_width"",""soilgrids_nitrogen_30_60cm_p90_width"",""soilgrids_bdod_0_5cm_p90_width"",""soilgrids_bdod_30_60cm_p90_width"",""soilgrids_cfvo_0_5cm_p90_width"",""soilgrids_cfvo_30_60cm_p90_width""]"
SOIL-ABL-GERMANIUM,Germanium,0,0,0,0,,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,soilgrids-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""soilgrids_phh2o_0_5cm_mean"",""soilgrids_phh2o_30_60cm_mean"",""soilgrids_clay_0_5cm_mean"",""soilgrids_clay_30_60cm_mean"",""soilgrids_sand_0_5cm_mean"",""soilgrids_sand_30_60cm_mean"",""soilgrids_silt_0_5cm_mean"",""soilgrids_silt_30_60cm_mean"",""soilgrids_soc_0_5cm_mean"",""soilgrids_soc_30_60cm_mean"",""soilgrids_cec_0_5cm_mean"",""soilgrids_cec_30_60cm_mean"",""soilgrids_nitrogen_0_5cm_mean"",""soilgrids_nitrogen_30_60cm_mean"",""soilgrids_bdod_0_5cm_mean"",""soilgrids_bdod_30_60cm_mean"",""soilgrids_cfvo_0_5cm_mean"",""soilgrids_cfvo_30_60cm_mean"",""soilgrids_phh2o_0_5cm_p90_width"",""soilgrids_phh2o_30_60cm_p90_width"",""soilgrids_clay_0_5cm_p90_width"",""soilgrids_clay_30_60cm_p90_width"",""soilgrids_sand_0_5cm_p90_width"",""soilgrids_sand_30_60cm_p90_width"",""soilgrids_silt_0_5cm_p90_width"",""soilgrids_silt_30_60cm_p90_width"",""soilgrids_soc_0_5cm_p90_width"",""soilgrids_soc_30_60cm_p90_width"",""soilgrids_cec_0_5cm_p90_width"",""soilgrids_cec_30_60cm_p90_width"",""soilgrids_nitrogen_0_5cm_p90_width"",""soilgrids_nitrogen_30_60cm_p90_width"",""soilgrids_bdod_0_5cm_p90_width"",""soilgrids_bdod_30_60cm_p90_width"",""soilgrids_cfvo_0_5cm_p90_width"",""soilgrids_cfvo_30_60cm_p90_width""]"
SOIL-ABL-GRAPHITE,Graphite,15,15,12,15,1.00000000,1000,0.98900000,5,15,1000,0.79200000,0.77026667,-0.02173333,-0.09822858,0.05798182,0.13327860,0.13512185,0.00184325,0.60000000,0.60000000,0.00000000,0.07447133,0.05484491,1,4,52.83797544,False,not_admitted_performance_degraded,paired_out_of_fold_roc_auc_decreased,not_admitted_shadow_evaluation_only,False,soilgrids-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""soilgrids_phh2o_0_5cm_mean"",""soilgrids_phh2o_30_60cm_mean"",""soilgrids_clay_0_5cm_mean"",""soilgrids_clay_30_60cm_mean"",""soilgrids_sand_0_5cm_mean"",""soilgrids_sand_30_60cm_mean"",""soilgrids_silt_0_5cm_mean"",""soilgrids_silt_30_60cm_mean"",""soilgrids_soc_0_5cm_mean"",""soilgrids_soc_30_60cm_mean"",""soilgrids_cec_0_5cm_mean"",""soilgrids_cec_30_60cm_mean"",""soilgrids_nitrogen_0_5cm_mean"",""soilgrids_nitrogen_30_60cm_mean"",""soilgrids_bdod_0_5cm_mean"",""soilgrids_bdod_30_60cm_mean"",""soilgrids_cfvo_0_5cm_mean"",""soilgrids_cfvo_30_60cm_mean"",""soilgrids_phh2o_0_5cm_p90_width"",""soilgrids_phh2o_30_60cm_p90_width"",""soilgrids_clay_0_5cm_p90_width"",""soilgrids_clay_30_60cm_p90_width"",""soilgrids_sand_0_5cm_p90_width"",""soilgrids_sand_30_60cm_p90_width"",""soilgrids_silt_0_5cm_p90_width"",""soilgrids_silt_30_60cm_p90_width"",""soilgrids_soc_0_5cm_p90_width"",""soilgrids_soc_30_60cm_p90_width"",""soilgrids_cec_0_5cm_p90_width"",""soilgrids_cec_30_60cm_p90_width"",""soilgrids_nitrogen_0_5cm_p90_width"",""soilgrids_nitrogen_30_60cm_p90_width"",""soilgrids_bdod_0_5cm_p90_width"",""soilgrids_bdod_30_60cm_p90_width"",""soilgrids_cfvo_0_5cm_p90_width"",""soilgrids_cfvo_30_60cm_p90_width""]"
SOIL-ABL-HAFNIUM,Hafnium,0,0,0,0,,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,soilgrids-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""soilgrids_phh2o_0_5cm_mean"",""soilgrids_phh2o_30_60cm_mean"",""soilgrids_clay_0_5cm_mean"",""soilgrids_clay_30_60cm_mean"",""soilgrids_sand_0_5cm_mean"",""soilgrids_sand_30_60cm_mean"",""soilgrids_silt_0_5cm_mean"",""soilgrids_silt_30_60cm_mean"",""soilgrids_soc_0_5cm_mean"",""soilgrids_soc_30_60cm_mean"",""soilgrids_cec_0_5cm_mean"",""soilgrids_cec_30_60cm_mean"",""soilgrids_nitrogen_0_5cm_mean"",""soilgrids_nitrogen_30_60cm_mean"",""soilgrids_bdod_0_5cm_mean"",""soilgrids_bdod_30_60cm_mean"",""soilgrids_cfvo_0_5cm_mean"",""soilgrids_cfvo_30_60cm_mean"",""soilgrids_phh2o_0_5cm_p90_width"",""soilgrids_phh2o_30_60cm_p90_width"",""soilgrids_clay_0_5cm_p90_width"",""soilgrids_clay_30_60cm_p90_width"",""soilgrids_sand_0_5cm_p90_width"",""soilgrids_sand_30_60cm_p90_width"",""soilgrids_silt_0_5cm_p90_width"",""soilgrids_silt_30_60cm_p90_width"",""soilgrids_soc_0_5cm_p90_width"",""soilgrids_soc_30_60cm_p90_width"",""soilgrids_cec_0_5cm_p90_width"",""soilgrids_cec_30_60cm_p90_width"",""soilgrids_nitrogen_0_5cm_p90_width"",""soilgrids_nitrogen_30_60cm_p90_width"",""soilgrids_bdod_0_5cm_p90_width"",""soilgrids_bdod_30_60cm_p90_width"",""soilgrids_cfvo_0_5cm_p90_width"",""soilgrids_cfvo_30_60cm_p90_width""]"
SOIL-ABL-INDIUM,Indium,0,0,0,0,,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,soilgrids-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""soilgrids_phh2o_0_5cm_mean"",""soilgrids_phh2o_30_60cm_mean"",""soilgrids_clay_0_5cm_mean"",""soilgrids_clay_30_60cm_mean"",""soilgrids_sand_0_5cm_mean"",""soilgrids_sand_30_60cm_mean"",""soilgrids_silt_0_5cm_mean"",""soilgrids_silt_30_60cm_mean"",""soilgrids_soc_0_5cm_mean"",""soilgrids_soc_30_60cm_mean"",""soilgrids_cec_0_5cm_mean"",""soilgrids_cec_30_60cm_mean"",""soilgrids_nitrogen_0_5cm_mean"",""soilgrids_nitrogen_30_60cm_mean"",""soilgrids_bdod_0_5cm_mean"",""soilgrids_bdod_30_60cm_mean"",""soilgrids_cfvo_0_5cm_mean"",""soilgrids_cfvo_30_60cm_mean"",""soilgrids_phh2o_0_5cm_p90_width"",""soilgrids_phh2o_30_60cm_p90_width"",""soilgrids_clay_0_5cm_p90_width"",""soilgrids_clay_30_60cm_p90_width"",""soilgrids_sand_0_5cm_p90_width"",""soilgrids_sand_30_60cm_p90_width"",""soilgrids_silt_0_5cm_p90_width"",""soilgrids_silt_30_60cm_p90_width"",""soilgrids_soc_0_5cm_p90_width"",""soilgrids_soc_30_60cm_p90_width"",""soilgrids_cec_0_5cm_p90_width"",""soilgrids_cec_30_60cm_p90_width"",""soilgrids_nitrogen_0_5cm_p90_width"",""soilgrids_nitrogen_30_60cm_p90_width"",""soilgrids_bdod_0_5cm_p90_width"",""soilgrids_bdod_30_60cm_p90_width"",""soilgrids_cfvo_0_5cm_p90_width"",""soilgrids_cfvo_30_60cm_p90_width""]"
