record_id,material_name,fold_id,train_positive_rows,train_background_rows,test_positive_rows,test_background_rows,train_spatial_groups,test_spatial_groups,train_test_groups_disjoint,purge_distance_km,minimum_test_positive_to_training_positive_km,test_soil_complete_rate,baseline_roc_auc,soilgrids_roc_auc,delta_roc_auc,baseline_average_precision,soilgrids_average_precision,baseline_recall_at_background_top5pct,soilgrids_recall_at_background_top5pct,experiment_version
SOIL-ABL-COPPER-F1,Copper,1,89,3235,35,808,253,63,True,50.00000000,50.37231942,0.97271649,0.72850071,0.67036775,-0.05813296,0.08217465,0.06266721,0.08571429,0.02857143,soilgrids-spatial-ablation-v0.1
SOIL-ABL-COPPER-F2,Copper,2,113,3297,21,749,256,60,True,50.00000000,55.39100100,0.99610390,0.72280501,0.68217941,-0.04062560,0.06668223,0.06664458,0.04761905,0.04761905,soilgrids-spatial-ablation-v0.1
SOIL-ABL-COPPER-F3,Copper,3,95,3179,34,859,252,65,True,50.00000000,50.63934772,0.99552072,0.44579881,0.51167568,0.06587687,0.05314837,0.05232364,0.02941176,0.05882353,soilgrids-spatial-ablation-v0.1
SOIL-ABL-COPPER-F4,Copper,4,114,3199,19,842,252,65,True,50.00000000,50.63934772,0.98838560,0.78259782,0.78878610,0.00618827,0.14192746,0.23832418,0.31578947,0.31578947,soilgrids-spatial-ablation-v0.1
SOIL-ABL-COPPER-F5,Copper,5,96,3221,27,822,253,64,True,50.00000000,58.98543868,0.99528857,0.62552942,0.62908894,0.00355952,0.07666512,0.07618298,0.18518519,0.25925926,soilgrids-spatial-ablation-v0.1
SOIL-ABL-GRAPHITE-F1,Graphite,1,12,791,3,208,229,57,True,50.00000000,82.51496938,0.99052133,0.75641026,0.70032051,-0.05608974,0.12283294,0.12142256,0.66666667,0.66666667,soilgrids-spatial-ablation-v0.1
SOIL-ABL-GRAPHITE-F2,Graphite,2,14,803,1,197,229,57,True,50.00000000,80.83129999,0.99494949,0.97969543,0.96954315,-0.01015228,0.20000000,0.14285714,1.00000000,1.00000000,soilgrids-spatial-ablation-v0.1
SOIL-ABL-GRAPHITE-F3,Graphite,3,11,807,3,189,229,57,True,50.00000000,80.83129999,0.98437500,0.46560847,0.68253968,0.21693122,0.05262903,0.07488788,0.33333333,0.33333333,soilgrids-spatial-ablation-v0.1
SOIL-ABL-GRAPHITE-F4,Graphite,4,10,799,5,199,228,58,True,50.00000000,52.83797544,0.98529412,0.80703518,0.78994975,-0.01708543,0.40416579,0.24732210,0.60000000,0.60000000,soilgrids-spatial-ablation-v0.1
SOIL-ABL-GRAPHITE-F5,Graphite,5,11,792,3,207,229,57,True,50.00000000,52.83797544,0.99047619,0.95491143,0.81642512,-0.13848631,0.23611111,0.47543860,0.66666667,0.66666667,soilgrids-spatial-ablation-v0.1
