record_id,source_family,source_record_id,source_event_record_ids_json,source_event_count,block_name,block_name_aliases_json,state_or_ut,district,block_area_ha,exploration_level,latitude,longitude,h3_r6,h3_r3,target_material,target_chemical_names_json,target_symbols_or_formulae_json,source_label_type,geometry_quality_status,geometry_model_role,geometry_source_url,source_url,target_known_evidence_records,internal_spatial_cv_auc,internal_spatial_cv_recall_at_background_top5pct,nearest_known_target_evidence_km,outside_25km_known_evidence,within_250km_known_evidence,primary_transfer_cohort,candidate_distance_domain,target_prospectivity_score,target_national_percentile,target_score_rank_among_50,target_is_centroid_top1,target_in_centroid_top5,centroid_published_top_material,centroid_published_record_class,centroid_is_published_candidate,target_specific_priority_gate,source_label_limitations,data_quality_flags_json
OBT-fa22400504344e41,central_critical_mineral_auction,akharkata,"[""CMB-EVENT-T1-O01""]",1,Akharkata Graphite Block,"[""Akharkata Graphite Block""]",Odisha,Angul,752.77000000,,20.85166198,84.58720949,863c83927ffffff,833c80fffffffff,Graphite,"[""carbon""]","[""C""]",official_auction_or_exploration_target_not_confirmed_deposit,accepted,geometry_available_for_overlay_not_used_in_prospectivity_training_or_scoring,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12705_MBS_Akharkata%20Graphite%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,15,0.87053333,0.53333333,5.02645016,False,True,False,False,0.93017036,,1.00000000,True,True,Graphite,regional_background,False,False,"The source identifies an auction or exploration target, not a confirmed deposit, resource, reserve, discovery, grade continuity, economic viability, current grant, operating mine, or permission to enter land. Source-independent publication does not prove knowledge-independence from historical mineral evidence.","[""official_auction_or_exploration_target_not_confirmed_deposit"",""within_25km_of_training_evidence_excluded_from_primary_transfer_cohort"",""complete_historical_source_label_independence_not_established""]"
OBT-c6244a7f4d7b45ce,central_critical_mineral_auction,babja,"[""CMB-EVENT-T1-O02""]",1,Babja Graphite and Manganese Block,"[""Babja Graphite and Manganese Block""]",Odisha,Balangir,19.50000000,,20.82311522,83.32584941,863c86377ffffff,833c86fffffffff,Graphite,"[""carbon""]","[""C""]",official_auction_or_exploration_target_not_confirmed_deposit,accepted,geometry_available_for_overlay_not_used_in_prospectivity_training_or_scoring,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,15,0.87053333,0.53333333,28.38182640,True,True,True,True,0.45914093,0.95971012,2.00000000,False,True,Manganese,regional_background,False,False,"The source identifies an auction or exploration target, not a confirmed deposit, resource, reserve, discovery, grade continuity, economic viability, current grant, operating mine, or permission to enter land. Source-independent publication does not prove knowledge-independence from historical mineral evidence.","[""official_auction_or_exploration_target_not_confirmed_deposit"",""complete_historical_source_label_independence_not_established""]"
OBT-4382243df358cc6c,central_critical_mineral_auction,babja,"[""CMB-EVENT-T1-O02""]",1,Babja Graphite and Manganese Block,"[""Babja Graphite and Manganese Block""]",Odisha,Balangir,19.50000000,,20.82311522,83.32584941,863c86377ffffff,833c86fffffffff,Iron,"[""iron""]","[""Fe""]",official_auction_or_exploration_target_not_confirmed_deposit,accepted,geometry_available_for_overlay_not_used_in_prospectivity_training_or_scoring,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,238,0.85629458,0.44537815,154.58424377,True,True,True,True,0.17208932,0.44529945,10.00000000,False,False,Manganese,regional_background,False,False,"The source identifies an auction or exploration target, not a confirmed deposit, resource, reserve, discovery, grade continuity, economic viability, current grant, operating mine, or permission to enter land. Source-independent publication does not prove knowledge-independence from historical mineral evidence.","[""official_auction_or_exploration_target_not_confirmed_deposit"",""complete_historical_source_label_independence_not_established""]"
OBT-77654ac2ceda2af4,central_critical_mineral_auction,babja,"[""CMB-EVENT-T1-O02""]",1,Babja Graphite and Manganese Block,"[""Babja Graphite and Manganese Block""]",Odisha,Balangir,19.50000000,,20.82311522,83.32584941,863c86377ffffff,833c86fffffffff,Manganese,"[""manganese""]","[""Mn""]",official_auction_or_exploration_target_not_confirmed_deposit,accepted,geometry_available_for_overlay_not_used_in_prospectivity_training_or_scoring,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=12721_Tranche-1-NIT%2020%20Blocks.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,130,0.85341124,0.20769231,124.03118896,True,True,True,True,0.60125291,0.96368945,1.00000000,True,True,Manganese,regional_background,False,False,"The source identifies an auction or exploration target, not a confirmed deposit, resource, reserve, discovery, grade continuity, economic viability, current grant, operating mine, or permission to enter land. Source-independent publication does not prove knowledge-independence from historical mineral evidence.","[""official_auction_or_exploration_target_not_confirmed_deposit"",""complete_historical_source_label_independence_not_established""]"
OBT-4c106b71e68ad0a3,central_critical_mineral_auction,bahera-goriara,"[""CMB-EVENT-T2-O01""]",1,Bahera- Goriara Graphite and Basemetal Block,"[""Bahera- Goriara Graphite and Basemetal Block""]",Madhya Pradesh,Sidhi,99.49000000,,24.36086935,81.91536020,863ca406fffffff,833ca4fffffffff,Copper,"[""copper""]","[""Cu""]",official_auction_or_exploration_target_not_confirmed_deposit,accepted,geometry_available_for_overlay_not_used_in_prospectivity_training_or_scoring,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=14103_MBS%20Bahera-%20Goriara%20Graphite%20and%20Basemetal%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=14475_GoI-MoM%20Tranche%20II-NIT.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,174,0.64359559,0.17816092,1.04379773,False,True,False,False,0.76385570,,1.00000000,True,True,Copper,known_evidence_area,False,False,"The source identifies an auction or exploration target, not a confirmed deposit, resource, reserve, discovery, grade continuity, economic viability, current grant, operating mine, or permission to enter land. Source-independent publication does not prove knowledge-independence from historical mineral evidence.","[""official_auction_or_exploration_target_not_confirmed_deposit"",""within_25km_of_training_evidence_excluded_from_primary_transfer_cohort"",""complete_historical_source_label_independence_not_established""]"
OBT-3bebe0418b099a2b,central_critical_mineral_auction,bahera-goriara,"[""CMB-EVENT-T2-O01""]",1,Bahera- Goriara Graphite and Basemetal Block,"[""Bahera- Goriara Graphite and Basemetal Block""]",Madhya Pradesh,Sidhi,99.49000000,,24.36086935,81.91536020,863ca406fffffff,833ca4fffffffff,Graphite,"[""carbon""]","[""C""]",official_auction_or_exploration_target_not_confirmed_deposit,accepted,geometry_available_for_overlay_not_used_in_prospectivity_training_or_scoring,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=14103_MBS%20Bahera-%20Goriara%20Graphite%20and%20Basemetal%20Block.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=14475_GoI-MoM%20Tranche%20II-NIT.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,15,0.87053333,0.53333333,229.58593750,True,True,True,True,0.06629038,0.78858811,15.00000000,False,False,Copper,known_evidence_area,False,False,"The source identifies an auction or exploration target, not a confirmed deposit, resource, reserve, discovery, grade continuity, economic viability, current grant, operating mine, or permission to enter land. Source-independent publication does not prove knowledge-independence from historical mineral evidence.","[""official_auction_or_exploration_target_not_confirmed_deposit"",""complete_historical_source_label_independence_not_established""]"
OBT-481679ad78d4094f,central_critical_mineral_auction,balepalyam,"[""CMB-EVENT-T2-O02"",""CMB-EVENT-T4-O12""]",2,Balepalyam Tungsten and Associated Mineral Block,"[""Balepalyam Tungsten and Associated Mineral Block""]",Andhra Pradesh,Anantapur (Sri Sathya Sai District),308.30000000,,14.39670583,77.52887985,8660a5bafffffff,8360a5fffffffff,Lead,"[""lead""]","[""Pb""]",official_auction_or_exploration_target_not_confirmed_deposit,accepted,geometry_available_for_overlay_not_used_in_prospectivity_training_or_scoring,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=15839_12.%20MBS%20Balepalyam%20Tungsten%20and%20Associated%20Mineral%20Block%2017.02.2024.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=15825_1.%20GoI%20MoM%20-%20Tranche%20IV%20-%20NIT.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,34,0.71799308,0.26470588,135.40458679,True,True,True,True,0.09036773,0.43015265,11.00000000,False,False,Iron,regional_background,False,False,"The source identifies an auction or exploration target, not a confirmed deposit, resource, reserve, discovery, grade continuity, economic viability, current grant, operating mine, or permission to enter land. Source-independent publication does not prove knowledge-independence from historical mineral evidence.","[""official_auction_or_exploration_target_not_confirmed_deposit"",""complete_historical_source_label_independence_not_established""]"
OBT-82c17acccaec638f,central_critical_mineral_auction,balepalyam,"[""CMB-EVENT-T2-O02"",""CMB-EVENT-T4-O12""]",2,Balepalyam Tungsten and Associated Mineral Block,"[""Balepalyam Tungsten and Associated Mineral Block""]",Andhra Pradesh,Anantapur (Sri Sathya Sai District),308.30000000,,14.39670583,77.52887985,8660a5bafffffff,8360a5fffffffff,Molybdenum,"[""molybdenum""]","[""Mo""]",official_auction_or_exploration_target_not_confirmed_deposit,accepted,geometry_available_for_overlay_not_used_in_prospectivity_training_or_scoring,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=15839_12.%20MBS%20Balepalyam%20Tungsten%20and%20Associated%20Mineral%20Block%2017.02.2024.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=15825_1.%20GoI%20MoM%20-%20Tranche%20IV%20-%20NIT.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,4,,,858.63311768,True,False,True,False,0.00010708,,27.00000000,False,False,Iron,regional_background,False,False,"The source identifies an auction or exploration target, not a confirmed deposit, resource, reserve, discovery, grade continuity, economic viability, current grant, operating mine, or permission to enter land. Source-independent publication does not prove knowledge-independence from historical mineral evidence.","[""official_auction_or_exploration_target_not_confirmed_deposit"",""target_model_below_published_minimum_support"",""target_model_does_not_pass_internal_minimum_holdout_auc"",""complete_historical_source_label_independence_not_established""]"
OBT-5a77aa5c58027700,central_critical_mineral_auction,balepalyam,"[""CMB-EVENT-T2-O02"",""CMB-EVENT-T4-O12""]",2,Balepalyam Tungsten and Associated Mineral Block,"[""Balepalyam Tungsten and Associated Mineral Block""]",Andhra Pradesh,Anantapur (Sri Sathya Sai District),308.30000000,,14.39670583,77.52887985,8660a5bafffffff,8360a5fffffffff,Tungsten,"[""tungsten""]","[""W""]",official_auction_or_exploration_target_not_confirmed_deposit,accepted,geometry_available_for_overlay_not_used_in_prospectivity_training_or_scoring,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=15839_12.%20MBS%20Balepalyam%20Tungsten%20and%20Associated%20Mineral%20Block%2017.02.2024.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=15825_1.%20GoI%20MoM%20-%20Tranche%20IV%20-%20NIT.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,3,,,773.15008545,True,False,True,False,0.00023631,,26.00000000,False,False,Iron,regional_background,False,False,"The source identifies an auction or exploration target, not a confirmed deposit, resource, reserve, discovery, grade continuity, economic viability, current grant, operating mine, or permission to enter land. Source-independent publication does not prove knowledge-independence from historical mineral evidence.","[""official_auction_or_exploration_target_not_confirmed_deposit"",""target_model_below_published_minimum_support"",""target_model_does_not_pass_internal_minimum_holdout_auc"",""complete_historical_source_label_independence_not_established""]"
OBT-d302313ad74a21b2,central_critical_mineral_auction,balepalyam,"[""CMB-EVENT-T2-O02"",""CMB-EVENT-T4-O12""]",2,Balepalyam Tungsten and Associated Mineral Block,"[""Balepalyam Tungsten and Associated Mineral Block""]",Andhra Pradesh,Anantapur (Sri Sathya Sai District),308.30000000,,14.39670583,77.52887985,8660a5bafffffff,8360a5fffffffff,Zinc,"[""zinc""]","[""Zn""]",official_auction_or_exploration_target_not_confirmed_deposit,accepted,geometry_available_for_overlay_not_used_in_prospectivity_training_or_scoring,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=15839_12.%20MBS%20Balepalyam%20Tungsten%20and%20Associated%20Mineral%20Block%2017.02.2024.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,https://www.mstcecommerce.com/auctionhome/download_docs.jsp?FILE_ID=15825_1.%20GoI%20MoM%20-%20Tranche%20IV%20-%20NIT.pdf&path=dynamiclinks&portal=mlcl&mdTyp=-,24,0.67750000,0.29166667,306.82214355,True,False,True,False,0.01627633,0.28405681,18.00000000,False,False,Iron,regional_background,False,False,"The source identifies an auction or exploration target, not a confirmed deposit, resource, reserve, discovery, grade continuity, economic viability, current grant, operating mine, or permission to enter land. Source-independent publication does not prove knowledge-independence from historical mineral evidence.","[""official_auction_or_exploration_target_not_confirmed_deposit"",""complete_historical_source_label_independence_not_established""]"
